Classe,Grupo,Tipo Equação,Coef_A,Coef_B,Coef_C,Coef_D,R2
2C,1,13,1.027,0.294,,,0.7128
2C,2,13,-1.027,0.706,,,0.9345
2C2,1,13,3.0,0.096,,,0.5113
2C2,2,13,2.234,0.21,,,0.6293
2C2,3,13,-2.009,0.333,,,0.7581
2C2,4,13,-3.225,0.36,,,0.8358
2C3,1,13,4.81,0.014,,,0.025
2C3,2,13,0.859,0.235,,,0.8643
2C3,3,13,2.459,0.12,,,0.1148
2C3,4,13,-8.127,0.631,,,0.803
2CB,1,13,0.665,0.333,,,0.6741
2CB,2,13,-0.665,0.667,,,0.8924
2CC,1,13,0.615,0.33,,,0.7602
2CC,2,13,-0.615,0.67,,,0.929
2D4,1,13,4.866,0.025,,,0.1902
2D4,2,13,-0.623,0.237,,,0.7378
2D4,3,13,-1.23,0.382,,,0.9139
2D4,4,13,-3.013,0.356,,,0.8016
2I1,1,13,3.796,0.057,,,0.2736
2I1,2,13,-0.251,0.239,,,0.4611
2I1,3,13,3.042,0.115,,,0.0471
2I1,4,13,-6.586,0.589,,,0.6986
2I2,1,13,3.978,0.057,,,0.2368
2I2,2,13,0.456,0.278,,,0.6689
2I2,3,13,-1.911,0.331,,,0.7125
2I2,4,13,-2.568,0.337,,,0.7658
2I3,1,13,4.026,0.045,,,0.2132
2I3,2,13,1.022,0.219,,,0.3902
2I3,3,13,-0.972,0.234,,,0.3782
2I3,4,13,-2.174,0.255,,,0.6197
2I3,5,13,-1.902,0.247,,,0.6424
2LD,1,13,-2.857,0.294,,,0.8456
2LD,2,13,1.701,0.193,,,0.8662
2LD,3,13,-2.555,0.454,,,0.9551
2LD,4,13,3.711,0.058,,,0.2723
2N4,1,13,5.334,0.014,,,0.0937
2N4,2,13,-0.129,0.215,,,0.6526
2N4,3,13,-1.681,0.367,,,0.7601
2N4,4,13,-2.533,0.226,,,0.8263
2N4,5,13,-0.99,0.178,,,0.6358
2R4,1,13,4.283,0.045,,,0.2084
2R4,2,13,0.208,0.216,,,0.841
2R4,3,13,-0.987,0.37,,,0.9136
2R4,4,13,-3.504,0.369,,,0.8903
2S1,1,13,2.426,0.139,,,0.4234
2S1,2,13,-1.427,0.453,,,0.7594
2S1,3,13,-0.999,0.408,,,0.6963
2S2,1,13,3.877,0.06,,,0.2558
2S2,2,13,-0.265,0.315,,,0.7268
2S2,3,13,-3.612,0.625,,,0.902
2S3,1,13,4.584,0.028,,,0.1096
2S3,2,13,1.187,0.229,,,0.6246
2S3,3,13,-5.768,0.743,,,0.9326
3BB,1,13,-0.715,0.357,,,0.6698
3BB,2,13,0.715,0.643,,,0.8685
3C,1,13,2.941,0.121,,,0.2653
3C,2,13,-2.941,0.879,,,0.9505
3C2,1,13,4.285,0.046,,,0.274
3C2,2,13,-0.809,0.448,,,0.8285
3C2,3,13,-1.341,0.245,,,0.7826
3C2,4,13,-2.135,0.262,,,0.7881
3C3,1,13,4.972,0.032,,,0.1184
3C3,2,13,-0.718,0.407,,,0.8066
3C3,3,13,-0.768,0.189,,,0.6756
3C3,4,13,-3.487,0.372,,,0.7067
3CB,1,13,-1.336,0.383,,,0.7958
3CB,2,13,1.336,0.617,,,0.9101
3D4,1,13,4.858,0.019,,,0.0637
3D4,2,13,-0.707,0.32,,,0.7391
3D4,3,13,-0.796,0.314,,,0.8066
3D4,4,13,-3.354,0.347,,,0.7939
3D5,1,13,6.09,-0.002,,,0.0044
3D5,2,13,0.505,0.253,,,0.932
3D5,3,13,-4.83,0.347,,,0.9028
3D5,4,13,-2.499,0.285,,,0.9086
3D5,5,13,0.734,0.117,,,0.8133
3D6,1,13,5.569,0.006,,,0.0215
3D6,2,13,2.859,0.195,,,0.5646
3D6,3,13,-2.982,0.161,,,0.7041
3D6,4,13,-0.533,0.127,,,0.6668
3D6,5,13,-1.123,0.237,,,0.6951
3D6,6,13,-0.957,0.123,,,0.8033
3D6,7,13,-2.832,0.151,,,0.8272
3DB,1,13,-5.714,0.99,,,0.9255
3DB,2,13,5.714,0.01,,,0.0014
3I1,1,13,4.022,0.039,,,0.1608
3I1,2,13,0.306,0.319,,,0.5208
3I1,3,13,-0.797,0.198,,,0.2503
3I1,4,13,-3.53,0.444,,,0.6446
3I2,1,13,4.867,0.025,,,0.1107
3I2,2,13,-0.436,0.4,,,0.7733
3I2,3,13,-1.542,0.272,,,0.6419
3I2,4,13,-2.889,0.302,,,0.7298
3I3,1,13,4.433,0.031,,,0.0956
3I3,2,13,0.46,0.316,,,0.4961
3I3,3,13,2.204,0.139,,,0.122
3I3,4,13,-3.752,0.263,,,0.5887
3I3,5,13,-3.345,0.251,,,0.5956
3LD,1,13,4.915,0.021,,,0.1797
3LD,2,13,3.318,0.278,,,0.6345
3LD,3,13,-3.906,0.433,,,0.8273
3LD,4,13,-4.328,0.267,,,0.757
3M5,1,13,5.36,0.015,,,0.0343
3M5,2,13,0.339,0.267,,,0.7425
3M5,3,13,-1.181,0.152,,,0.6641
3M5,4,13,-1.012,0.27,,,0.6361
3M5,5,13,-3.839,0.187,,,0.755
3M5,6,13,0.334,0.109,,,0.4882
3M6,1,13,4.913,0.016,,,0.0451
3M6,2,13,1.861,0.226,,,0.4764
3M6,3,13,-3.071,0.387,,,0.7331
3M6,4,13,-3.634,0.37,,,0.6116
3P5,1,13,5.429,0.007,,,0.0103
3P5,2,13,1.924,0.242,,,0.482
3P5,3,13,-2.109,0.324,,,0.6362
3P5,4,13,-5.243,0.426,,,0.7229
3R6,1,13,4.86,0.018,,,0.0689
3R6,2,13,4.605,0.164,,,0.3552
3R6,3,13,-5.535,0.325,,,0.551
3R6,4,13,-2.068,0.251,,,0.5521
3R6,5,13,-1.862,0.243,,,0.3459
3S1,1,13,4.495,0.044,,,0.1138
3S1,2,13,-3.272,0.632,,,0.8607
3S1,3,13,-1.223,0.324,,,0.6569
3S2,1,13,4.587,0.029,,,0.1109
3S2,2,13,-1.935,0.463,,,0.7935
3S2,3,13,-2.652,0.508,,,0.8115
3S3,1,13,4.605,0.027,,,0.078
3S3,2,13,0.235,0.345,,,0.6447
3S3,3,13,-4.841,0.628,,,0.8383
3T4,1,13,3.758,0.039,,,0.0836
3T4,2,13,0.058,0.302,,,0.588
3T4,3,13,-0.519,0.311,,,0.6238
3T4,4,13,-3.221,0.347,,,0.6267
3T6,1,13,3.906,0.03,,,0.0692
3T6,2,13,2.714,0.193,,,0.3056
3T6,3,13,-2.086,0.271,,,0.428
3T6,4,13,0.294,0.215,,,0.3693
3T6,5,13,-4.78,0.29,,,0.4582
3V5,1,13,4.843,0.018,,,0.0901
3V5,2,13,3.37,0.232,,,0.5754
3V5,3,13,0.045,0.348,,,0.8317
3V5,4,13,-8.259,0.401,,,0.7922
4C,1,13,3.93,0.058,,,0.0547
4C,2,13,-3.93,0.942,,,0.9387
4CB,1,13,0.099,0.386,,,0.6497
4CB,2,13,-0.099,0.614,,,0.8242
4CD,1,13,4.147,0.248,,,0.4787
4CD,2,13,-4.147,0.752,,,0.8943
4DT,1,13,4.9,0.103,,,0.1046
4DT,2,13,-0.68,0.313,,,0.3736
4DT,3,13,-4.221,0.584,,,0.7169
4R3,1,13,5.905,0.103,,,0.3365
4R3,2,13,-1.522,0.39,,,0.7426
4R3,3,13,-1.16,0.18,,,0.6234
4R3,4,13,-3.223,0.327,,,0.7251
