UF,VMDa_Class,VeiculoClassificacaoQFV,share_within_group_balanced,n_umos_used,n_rows_used,vmda_group_share,scaled,share_scaled_by_vmda,fallback_all_umos
AL,A,2C,0.9903489590829745,9,26654,0.33217945167543617,0.3289735741955214,0.3289735741955214,False
AL,A,2CC,0.009651040917025571,9,26654,0.33217945167543617,0.003205877479914753,0.003205877479914753,False
AL,B,3C,0.997295935937332,9,26654,0.21545278316255884,0.21487018503440716,0.21487018503440716,False
AL,B,2I1,0.0017816112569667883,9,26654,0.21545278316255884,0.00038385310382723937,0.00038385310382723937,False
AL,B,2S1,0.000772908914569137,9,26654,0.21545278316255884,0.000166525376775073,0.000166525376775073,False
AL,B,3BB,0.00014954389113204728,9,26654,0.21545278316255884,3.221964754935829e-05,3.221964754935829e-05,False
AL,C,4CD,0.8602129255974479,9,26654,0.13126557740238162,0.11291634636754094,0.11291634636754094,False
AL,C,2S2,0.10601612496496833,9,26654,0.13126557740238162,0.013916267857489614,0.013916267857489614,False
AL,C,2I2,0.03092349495969447,9,26654,0.13126557740238162,0.004059190421183932,0.004059190421183932,False
AL,C,2C2,0.0028474544778892604,9,26654,0.13126557740238162,0.0003737727561671309,0.0003737727561671309,False
AL,D,2S3,0.909186870023815,9,26654,0.11215729714760454,0.10197194194396153,0.10197194194396153,False
AL,D,2I3,0.03720360647674253,9,26654,0.11215729714760454,0.0041726559465745565,0.0041726559465745565,False
AL,D,3S2,0.029838765039709905,9,26654,0.11215729714760454,0.003346635237076298,0.003346635237076298,False
AL,D,3I2,0.019701194728527976,9,26654,0.11215729714760454,0.0022096327513303326,0.0022096327513303326,False
AL,D,3C2,0.0034575596645377345,9,26654,0.11215729714760454,0.0003877905467011306,0.0003877905467011306,False
AL,D,2C3,0.0006120040666668208,9,26654,0.11215729714760454,6.8640721960693e-05,6.8640721960693e-05,False
AL,E,3S3,0.728113028408329,9,26654,0.1492661312655774,0.10868261487457472,0.10868261487457472,False
AL,E,3I3,0.26237825662518666,9,26654,0.1492661312655774,0.03916418729464846,0.03916418729464846,False
AL,E,3I1,0.004202365480783176,9,26654,0.1492661312655774,0.0006272708374805128,0.0006272708374805128,False
AL,E,2D4,0.002691272587466359,9,26654,0.1492661312655774,0.00040171584731220366,0.00040171584731220366,False
AL,E,2N4,0.0015898077989344528,9,26654,0.1492661312655774,0.0002373044596027887,0.0002373044596027887,False
