UF,VMDa_Class,VeiculoClassificacaoQFV,share_within_group_balanced,n_umos_used,n_rows_used
AC,A,2C,1.0,2,3583
AC,B,3C,1.0,2,3583
AC,C,2C2,0.015625,2,3583
AC,C,2I2,0.01171875,2,3583
AC,C,2S2,0.12038352272727273,2,3583
AC,C,4CD,0.8522727272727273,2,3583
AC,D,2I3,0.0038461538461538464,2,3583
AC,D,2S3,0.6995726495726495,2,3583
AC,D,3C2,0.13247863247863248,2,3583
AC,D,3I2,0.015384615384615385,2,3583
AC,D,3S2,0.14871794871794872,2,3583
AC,E,2R4,0.005469497674211569,2,3583
AC,E,3C3,0.008307182123700785,2,3583
AC,E,3I1,0.010938995348423138,2,3583
AC,E,3I3,0.16830807237764572,2,3583
AC,E,3S3,0.8069762524760188,2,3583
AC,F,3D4,0.024509803921568627,2,3583
AC,F,3T4,0.9301470588235294,2,3583
AC,F,4DT,0.01838235294117647,2,3583
AC,F,4R3,0.02696078431372549,2,3583
AC,G,3V5,1.0,2,3583
AC,H,3M6,0.5516682113067656,2,3583
AC,H,3T6,0.44833178869323453,2,3583
AL,A,2C,0.9903489590829745,9,26654
AL,A,2CC,0.009651040917025571,9,26654
AL,B,2I1,0.0017816112569667883,9,26654
AL,B,2S1,0.000772908914569137,9,26654
AL,B,3BB,0.00014954389113204728,9,26654
AL,B,3C,0.997295935937332,9,26654
AL,C,2C2,0.0028474544778892604,9,26654
AL,C,2I2,0.03092349495969447,9,26654
AL,C,2S2,0.10601612496496833,9,26654
AL,C,4CD,0.8602129255974479,9,26654
AL,D,2C3,0.0006120040666668208,9,26654
AL,D,2I3,0.03720360647674253,9,26654
AL,D,2S3,0.909186870023815,9,26654
AL,D,3C2,0.0034575596645377345,9,26654
AL,D,3I2,0.019701194728527976,9,26654
AL,D,3S2,0.029838765039709905,9,26654
AL,E,2D4,0.002691272587466359,9,26654
AL,E,2N4,0.0015898077989344528,9,26654
AL,E,2R4,0.0006770000986310991,9,26654
AL,E,3C3,0.00034826900066923204,9,26654
AL,E,3I1,0.004202365480783176,9,26654
AL,E,3I3,0.26237825662518666,9,26654
AL,E,3S3,0.728113028408329,9,26654
AL,F,3D4,0.03554928052928479,9,26654
AL,F,3T4,0.9134711530384113,9,26654
AL,F,4DT,0.04599488250025161,9,26654
AL,F,4R3,0.004984683932052353,9,26654
AL,G,3M5,0.05555555555555555,9,26654
AL,G,3P5,0.17777777777777778,9,26654
AL,G,3V5,0.7666666666666666,9,26654
AL,H,3M6,0.47155411989157753,9,26654
AL,H,3R6,0.03883856395625297,9,26654
AL,H,3T6,0.48960731615216946,9,26654
AM,A,2C,0.7706135724331927,3,7407
AM,A,2CB,0.0008680555555555555,3,7407
AM,A,2CC,0.22851837201125172,3,7407
AM,B,2I1,0.09696746081945323,3,7407
AM,B,2S1,0.00022401433691756275,3,7407
AM,B,3C,0.9017192002248929,3,7407
AM,B,3CB,0.0010893246187363835,3,7407
AM,C,2I2,0.04243816178214832,3,7407
AM,C,2S2,0.36529943283517713,3,7407
AM,C,3S1,0.011494252873563218,3,7407
AM,C,4CD,0.5807681525091113,3,7407
AM,D,2I3,0.005291005291005291,3,7407
AM,D,2LD,0.0010162601626016261,3,7407
AM,D,2S3,0.8006845796479943,3,7407
AM,D,3C2,0.0020325203252032522,3,7407
AM,D,3I2,0.011598270744612208,3,7407
AM,D,3S2,0.17937736382858335,3,7407
AM,E,2D4,0.016713061152350654,3,7407
AM,E,2N4,0.0008417508417508418,3,7407
AM,E,3C3,0.032973223753976676,3,7407
AM,E,3I1,0.012685734153125456,3,7407
AM,E,3I3,0.0970026350461133,3,7407
AM,E,3LD,0.003170289855072464,3,7407
AM,E,3S3,0.8366133051976106,3,7407
AM,F,3D4,0.4,3,7407
AM,F,3T4,0.5901599015990161,3,7407
AM,F,4DT,0.009840098400984012,3,7407
AM,G,3D5,0.05555555555555555,3,7407
AM,G,3M5,0.047619047619047616,3,7407
AM,G,3P5,0.42063492063492064,3,7407
AM,G,3V5,0.4761904761904762,3,7407
AM,H,3M6,0.5171185539606592,3,7407
AM,H,3R6,0.24444444444444444,3,7407
AM,H,3T6,0.23843700159489634,3,7407
AP,A,2C,0.8043478260869565,1,2900
AP,A,2CC,0.1956521739130435,1,2900
AP,B,3C,1.0,1,2900
AP,C,2S2,0.07216494845360824,1,2900
AP,C,4CD,0.9278350515463918,1,2900
AP,D,2S3,0.6896551724137931,1,2900
AP,D,3S2,0.3103448275862069,1,2900
AP,E,3S3,1.0,1,2900
AP,F,3T4,1.0,1,2900
AP,H,3T6,1.0,1,2900
BA,A,2C,1.0,2,7217
BA,B,2I1,0.0026972463715397767,2,7217
BA,B,2S1,0.0013486231857698884,2,7217
BA,B,3BB,0.0006729475100942127,2,7217
BA,B,3C,0.9952811829325962,2,7217
BA,C,2C2,0.0038461538461538464,2,7217
BA,C,2I2,0.016758241758241758,2,7217
BA,C,2S2,0.15,2,7217
BA,C,4CD,0.8293956043956043,2,7217
BA,D,2I3,0.026524784368576092,2,7217
BA,D,2S3,0.9354748129781508,2,7217
BA,D,3C2,0.01044514378960307,2,7217
BA,D,3I2,0.017247864878038446,2,7217
BA,D,3S2,0.010307393985631637,2,7217
BA,E,3I1,0.0029907667603372144,2,7217
BA,E,3I3,0.1476197644854811,2,7217
BA,E,3S3,0.8493894687541818,2,7217
BA,F,3D4,0.01369798971482001,2,7217
BA,F,3T4,0.8799438990182329,2,7217
BA,F,4DT,0.10635811126694716,2,7217
BA,G,3V5,1.0,2,7217
BA,H,3M6,0.5795130795130795,2,7217
BA,H,3T6,0.4204869204869205,2,7217
CE,A,2C,0.9866310160427807,2,2203
CE,A,2CC,0.013368983957219251,2,2203
CE,B,2I1,0.0009784735812133072,2,2203
CE,B,3C,0.9990215264187867,2,2203
CE,C,2I2,0.04370709382151029,2,2203
CE,C,2S2,0.13569794050343248,2,2203
CE,C,4CD,0.8205949656750572,2,2203
CE,D,2I3,0.024913693901035674,2,2203
CE,D,2S3,0.925258918296893,2,2203
CE,D,3C2,0.0031645569620253164,2,2203
CE,D,3I2,0.030840046029919445,2,2203
CE,D,3S2,0.015822784810126583,2,2203
CE,E,2D4,0.018229166666666668,2,2203
CE,E,3I1,0.0026041666666666665,2,2203
CE,E,3I3,0.2392777098614507,2,2203
CE,E,3S3,0.7398889568052159,2,2203
CE,F,3T4,0.9553571428571429,2,2203
CE,F,4DT,0.03273809523809524,2,2203
CE,F,4R3,0.011904761904761906,2,2203
CE,H,3M6,0.5055128633478115,2,2203
CE,H,3T6,0.49448713665218846,2,2203
DF,A,2C,0.9979101358411703,1,5781
DF,A,2CC,0.0020898641588296763,1,5781
DF,B,3C,1.0,1,5781
DF,C,2C2,0.003484320557491289,1,5781
DF,C,2I2,0.06968641114982578,1,5781
DF,C,2S2,0.07665505226480836,1,5781
DF,C,4CD,0.8501742160278746,1,5781
DF,D,2I3,0.042801556420233464,1,5781
DF,D,2S3,0.8715953307392996,1,5781
DF,D,3I2,0.0622568093385214,1,5781
DF,D,3S2,0.023346303501945526,1,5781
DF,E,2R4,0.0006079027355623101,1,5781
DF,E,3C3,0.00182370820668693,1,5781
DF,E,3I1,0.00303951367781155,1,5781
DF,E,3I3,0.14103343465045592,1,5781
DF,E,3S3,0.8534954407294832,1,5781
DF,F,3D4,0.0013623978201634877,1,5781
DF,F,3T4,0.9277929155313351,1,5781
DF,F,4DT,0.0681198910081744,1,5781
DF,F,4R3,0.0027247956403269754,1,5781
DF,G,3P5,0.2222222222222222,1,5781
DF,G,3V5,0.7777777777777778,1,5781
DF,H,3M6,0.5469387755102041,1,5781
DF,H,3T6,0.4530612244897959,1,5781
ES,A,2C,0.9956140350877193,2,11641
ES,A,2CB,0.0010964912280701754,2,11641
ES,A,2CC,0.003289473684210526,2,11641
ES,B,2I1,0.005574273427013998,2,11641
ES,B,2S1,0.000706713780918728,2,11641
ES,B,3BB,0.005300353356890461,2,11641
ES,B,3C,0.9859451612019613,2,11641
ES,B,3CB,0.002473498233215548,2,11641
ES,C,2I2,0.081756235367975,2,11641
ES,C,2S2,0.1145908264560091,2,11641
ES,C,3S1,0.001026694045174538,2,11641
ES,C,4CD,0.8026262441308414,2,11641
ES,D,2I3,0.02839399468612952,2,11641
ES,D,2S3,0.8649684689010532,2,11641
ES,D,3C2,0.0068584141617849485,2,11641
ES,D,3I2,0.021799673485066742,2,11641
ES,D,3S2,0.07797944876596563,2,11641
ES,E,2N4,0.00021079258010118043,2,11641
ES,E,2R4,0.002529510961214165,2,11641
ES,E,3C3,0.0022123893805309734,2,11641
ES,E,3D3,0.000829646017699115,2,11641
ES,E,3I1,0.0043473637869539915,2,11641
ES,E,3I3,0.38854388962676656,2,11641
ES,E,3LD,0.0010404385978002955,2,11641
ES,E,3S3,0.6002859690489337,2,11641
ES,F,3T4,0.35382339995680545,2,11641
ES,F,4DT,0.6450072036458376,2,11641
ES,F,4R3,0.0011693963973569317,2,11641
ES,G,3M5,0.37142857142857144,2,11641
ES,G,3V5,0.6285714285714286,2,11641
ES,H,3M6,0.5900718414087398,2,11641
ES,H,3T6,0.4099281585912602,2,11641
GO,A,2C,0.9866310160427807,1,10149
GO,A,2CB,0.009358288770053475,1,10149
GO,A,2CC,0.004010695187165776,1,10149
GO,B,2I1,0.0009149130832570906,1,10149
GO,B,2S1,0.0009149130832570906,1,10149
GO,B,3BB,0.021043000914913082,1,10149
GO,B,3BC,0.0004574565416285453,1,10149
GO,B,3C,0.97483989021043,1,10149
GO,B,3CB,0.0013723696248856359,1,10149
GO,B,3DB,0.0004574565416285453,1,10149
GO,C,2C2,0.002881844380403458,1,10149
GO,C,2I2,0.03314121037463977,1,10149
GO,C,2S2,0.17435158501440923,1,10149
GO,C,4BD,0.002881844380403458,1,10149
GO,C,4C,0.001440922190201729,1,10149
GO,C,4CD,0.7853025936599424,1,10149
GO,D,2I3,0.041666666666666664,1,10149
GO,D,2S3,0.842948717948718,1,10149
GO,D,3C2,0.003205128205128205,1,10149
GO,D,3I2,0.022435897435897436,1,10149
GO,D,3S2,0.08974358974358974,1,10149
GO,E,2R4,0.0003272251308900524,1,10149
GO,E,3I1,0.0032722513089005235,1,10149
GO,E,3I3,0.1950261780104712,1,10149
GO,E,3S3,0.8013743455497382,1,10149
GO,F,3D4,0.0023014959723820483,1,10149
GO,F,3T4,0.9907940161104718,1,10149
GO,F,4DT,0.004602991944764097,1,10149
GO,F,4R3,0.0023014959723820483,1,10149
GO,G,3M5,0.5,1,10149
GO,G,3P5,0.3333333333333333,1,10149
GO,G,3V5,0.16666666666666666,1,10149
GO,H,3M6,0.5623973727422004,1,10149
GO,H,3T6,0.4376026272577997,1,10149
MA,A,2C,0.976461038961039,2,5846
MA,A,2CC,0.02353896103896104,2,5846
MA,B,2S1,0.0004401408450704226,2,5846
MA,B,3C,0.9995598591549296,2,5846
MA,C,2I2,0.06112289383763403,2,5846
MA,C,2S2,0.051490514905149054,2,5846
MA,C,4CD,0.887386591257217,2,5846
MA,D,2C3,0.0017793594306049821,2,5846
MA,D,2I3,0.010676156583629894,2,5846
MA,D,2S3,0.9168446026097272,2,5846
MA,D,3I2,0.02022538552787663,2,5846
MA,D,3S2,0.05047449584816133,2,5846
MA,E,2N4,0.0005370569280343717,2,5846
MA,E,2R4,0.0010741138560687435,2,5846
MA,E,3C3,0.0010741138560687435,2,5846
MA,E,3I1,0.0010741138560687435,2,5846
MA,E,3I3,0.17334204435979497,2,5846
MA,E,3S3,0.8228985571439645,2,5846
MA,F,3D4,0.012605042016806723,2,5846
MA,F,3T4,0.9169213139801375,2,5846
MA,F,4DT,0.07047364400305577,2,5846
MA,G,3M5,0.16666666666666666,2,5846
MA,G,3P5,0.03333333333333333,2,5846
MA,G,3V5,0.8,2,5846
MA,H,3M6,0.258990508659625,2,5846
MA,H,3R6,0.2374946569367124,2,5846
MA,H,3T6,0.5035148344036626,2,5846
MG,A,2BC,0.0005367405582922825,5,23478
MG,A,2C,0.9782301542606299,5,23478
