UF,CODIGO_BR,_PESADOS_TOTAL,A_C,B_C,C_C,D_C,E_C,F_C,G_C,H_C,A_D,B_D,C_D,D_D,E_D,F_D,G_D,H_D
AL,101,2717.0,284.0,290.0,192.0,159.0,225.0,41.0,2.0,53.0,335.0,342.0,227.0,188.0,265.0,48.0,3.0,63.0
AL,104,1074.0,335.0,108.0,34.0,29.0,18.0,4.0,1.0,3.0,341.0,110.0,34.0,29.0,18.0,5.0,1.0,4.0
AL,316,2103.0,404.0,217.0,140.0,120.0,157.0,24.0,2.0,40.0,365.0,196.0,126.0,109.0,142.0,22.0,2.0,37.0
AL,423,1328.0,162.0,142.0,94.0,85.0,122.0,15.0,1.0,20.0,173.0,151.0,101.0,91.0,131.0,16.0,2.0,22.0
BA,020,1579.0,109.0,159.0,106.0,70.0,179.0,66.0,5.0,103.0,107.0,156.0,104.0,68.0,176.0,65.0,5.0,101.0
BA,030,1084.0,187.0,165.0,17.0,46.0,59.0,45.0,7.0,18.0,186.0,163.0,17.0,46.0,59.0,44.0,7.0,18.0
BA,101,4729.0,630.0,532.0,311.0,244.0,389.0,64.0,5.0,111.0,673.0,568.0,333.0,261.0,416.0,68.0,5.0,119.0
BA,110,1419.0,137.0,141.0,97.0,87.0,140.0,17.0,1.0,29.0,163.0,167.0,116.0,103.0,166.0,20.0,1.0,34.0
BA,116,6294.0,397.0,525.0,472.0,473.0,815.0,224.0,22.0,323.0,372.0,491.0,442.0,443.0,763.0,210.0,20.0,302.0
BA,135,103.0,38.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,36.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0
BA,242,1365.0,96.0,115.0,59.0,50.0,127.0,50.0,6.0,187.0,94.0,113.0,58.0,49.0,124.0,49.0,5.0,183.0
BA,324,9917.0,1565.0,1006.0,698.0,487.0,663.0,246.0,25.0,310.0,1539.0,989.0,687.0,479.0,652.0,242.0,24.0,305.0
