Classe,Grupo,Tipo Equação,Coef_A,Coef_B,Coef_C,Coef_D,R2,N
C1,1,13,0.871582,0.297411,,,0.6864,5519
C1,2,13,-0.871582,0.702589,,,0.9243,5519
C2,1,13,0.996186,0.306354,,,0.7386,64738
C2,2,13,-0.996186,0.693646,,,0.9354,64738
C3,1,13,2.962741,0.124174,,,0.2611,81506
C3,2,13,-2.962741,0.875826,,,0.9462,81506
C7,1,13,4.071706,0.24906,,,0.5153,25205
C7,2,13,-4.071706,0.75094,,,0.9062,25205
CR1,1,13,2.419002,0.137305,,,0.5042,121
CR1,2,13,-0.74233,0.36178,,,0.7682,121
CR1,3,13,-1.430219,0.294999,,,0.7156,121
CR1,4,13,-0.246454,0.205916,,,0.7192,121
CR10,1,13,2.465662,0.259986,,,0.6693,233
CR10,2,13,0.878048,0.312064,,,0.7128,233
CR10,3,13,-1.390973,0.215261,,,0.7964,233
CR10,4,13,-1.952736,0.212689,,,0.7529,233
CR10+,1,13,2.602585,0.245762,,,0.7073,74
CR10+,2,13,-2.273488,0.41465,,,0.5725,74
CR10+,3,13,-0.332397,0.183945,,,0.418,74
CR10+,4,13,0.0033,0.155644,,,0.4666,74
CR11,1,13,3.794034,0.137037,,,0.1908,276
CR11,2,13,-1.716225,0.391789,,,0.5185,276
CR11,3,13,0.553048,0.142244,,,0.4394,276
CR11,4,13,-2.630857,0.328931,,,0.565,276
CR2,1,13,4.528673,0.037022,,,0.2264,43
CR2,2,13,0.783028,0.233121,,,0.6094,43
CR2,3,13,-2.357574,0.240209,,,0.5058,43
CR2,4,13,-2.954127,0.489648,,,0.8537,43
CR4,1,13,3.80233,0.067246,,,0.404,332
CR4,2,13,-1.117951,0.47385,,,0.8935,332
CR4,3,13,-1.117578,0.225821,,,0.8343,332
CR4,4,13,-1.566801,0.233084,,,0.8611,332
CR4+,1,13,4.125401,0.058504,,,0.4428,69
CR4+,2,13,-1.784123,0.491615,,,0.9361,69
CR4+,3,13,-0.954135,0.216451,,,0.8812,69
CR4+,4,13,-1.387144,0.233431,,,0.8906,69
CR5,1,13,3.937604,0.064071,,,0.2254,232
CR5,2,13,-0.714812,0.429186,,,0.7752,232
CR5,3,13,-0.843648,0.191131,,,0.5869,232
CR5,4,13,-2.379144,0.315613,,,0.6412,232
CR5+,1,13,4.751935,0.040513,,,0.153,59
CR5+,2,13,-0.152408,0.404381,,,0.6923,59
CR5+,3,13,-2.223735,0.219718,,,0.6809,59
CR5+,4,13,-2.375791,0.335387,,,0.6603,59
CR6,1,13,1.371283,0.090686,,,0.1452,740
CR6,2,13,-8.782015,0.48975,,,0.4676,740
CR6,3,13,5.424015,0.180823,,,0.1607,740
CR6,4,13,1.986718,0.238742,,,0.3014,740
CR6+,1,13,4.160254,0.029364,,,0.0683,70
CR6+,2,13,1.778214,0.274673,,,0.7082,70
CR6+,3,13,-5.933954,0.407295,,,0.8024,70
CR6+,4,13,-0.004514,0.288667,,,0.6636,70
CTS1,1,13,2.306331,0.142618,,,0.2949,1538
CTS1,2,13,-3.676901,0.549699,,,0.6238,1538
CTS1,3,13,1.37057,0.307683,,,0.3373,1538
CTS10,1,13,4.476661,0.029675,,,0.081,97871
CTS10,2,13,-0.158522,0.356467,,,0.6321,97871
CTS10,3,13,-4.318139,0.613858,,,0.8139,97871
CTS11,1,13,4.383024,0.028118,,,0.059,15150
CTS11,2,13,1.792886,0.265444,,,0.3713,15150
CTS11,3,13,1.200253,0.129717,,,0.0834,15150
CTS11,4,13,-7.376162,0.576721,,,0.6524,15150
CTS13,1,13,4.636458,0.027432,,,0.0655,685
CTS13,2,13,-0.152868,0.334029,,,0.5139,685
CTS13,3,13,1.73323,0.136951,,,0.1254,685
CTS13,4,13,-6.21682,0.501589,,,0.6039,685
CTS15,1,13,4.771878,0.023421,,,0.0681,23581
CTS15,2,13,0.001473,0.330708,,,0.5827,23581
CTS15,3,13,1.316456,0.154031,,,0.183,23581
CTS15,4,13,-3.183295,0.247809,,,0.6324,23581
CTS15,5,13,-2.906512,0.244032,,,0.641,23581
CTS19,1,13,5.114403,0.019777,,,0.054,3375
CTS19,2,13,-1.730047,0.449626,,,0.8351,3375
CTS19,3,13,-3.384356,0.530597,,,0.8519,3375
CTS2,1,13,3.780373,0.067003,,,0.2045,7824
CTS2,2,13,0.604071,0.306104,,,0.5737,7824
CTS2,3,13,-4.384445,0.626893,,,0.8597,7824
CTS22,1,13,3.678393,0.122121,,,0.1336,3813
CTS22,2,13,-1.549018,0.343749,,,0.4349,3813
CTS22,3,13,-2.129375,0.53413,,,0.6279,3813
CTS3,1,13,3.567005,0.073409,,,0.3586,1947
CTS3,2,13,2.641148,0.226497,,,0.5707,1947
CTS3,3,13,-2.942564,0.346867,,,0.8007,1947
CTS3,4,13,-3.265589,0.353227,,,0.867,1947
CTS4,1,13,4.24435,0.039421,,,0.1468,17826
CTS4,2,13,1.053205,0.240421,,,0.6187,17826
CTS4,3,13,-5.297555,0.720158,,,0.9178,17826
CTS5,1,13,3.621205,0.059301,,,0.1995,2009
CTS5,2,13,0.87348,0.223991,,,0.3666,2009
CTS5,3,13,-1.000286,0.214443,,,0.1701,2009
CTS5,4,13,-3.494399,0.502265,,,0.5855,2009
CTS6,1,13,4.041307,0.048488,,,0.2191,966
CTS6,2,13,1.053835,0.220895,,,0.4812,966
CTS6,3,13,0.061544,0.200414,,,0.3379,966
CTS6,4,13,-2.527181,0.261843,,,0.6872,966
CTS6,5,13,-2.629505,0.26836,,,0.6886,966
CTS7,1,13,5.515686,0.015648,,,0.0192,185
CTS7,2,13,-7.275797,0.760844,,,0.9117,185
CTS7,3,13,1.760112,0.223508,,,0.4751,185
CTS8,1,13,5.498636,0.009804,,,0.0215,1607
CTS8,2,13,-1.620261,0.436759,,,0.84,1607
CTS8,3,13,-1.421573,0.264176,,,0.7659,1607
CTS8,4,13,-2.456803,0.289261,,,0.8447,1607
CTSR3,1,13,3.870658,0.051063,,,0.1683,117
CTSR3,2,13,-0.28137,0.224259,,,0.6955,117
CTSR3,3,13,-0.981823,0.20521,,,0.6756,117
CTSR3,4,13,-1.546209,0.212951,,,0.7239,117
CTSR3,5,13,-1.061256,0.306516,,,0.7769,117
CTSR6+,1,13,4.093301,0.027923,,,0.0638,63430
CTSR6+,2,13,3.978727,0.171839,,,0.2914,63430
CTSR6+,3,13,-2.624223,0.279116,,,0.4879,63430
CTSR6+,4,13,-0.687395,0.226263,,,0.4281,63430
CTSR6+,5,13,-4.760411,0.294859,,,0.5268,63430
CTSS10+,1,13,5.849575,-0.001131,,,0.0008,102
CTSS10+,2,13,0.301808,0.273504,,,0.8057,102
CTSS10+,3,13,-2.278486,0.31986,,,0.8181,102
CTSS10+,4,13,-3.872898,0.407767,,,0.8341,102
CTSS11+,1,13,5.121049,0.01442,,,0.0373,337
CTSS11+,2,13,2.933012,0.231331,,,0.5462,337
CTSS11+,3,13,-2.367413,0.397192,,,0.7723,337
CTSS11+,4,13,-5.686648,0.357058,,,0.6652,337
CTSS12+,1,13,4.827635,0.018238,,,0.048,30608
CTSS12+,2,13,3.007911,0.208166,,,0.4328,30608
CTSS12+,3,13,-2.960467,0.385893,,,0.7235,30608
CTSS12+,4,13,-4.875078,0.387703,,,0.6386,30608
CTSS4,1,13,5.4755,-0.00368,,,0.0003,43
CTSS4,2,13,0.125616,0.238098,,,0.4002,43
CTSS4,3,13,-5.497569,0.568961,,,0.7509,43
CTSS4,4,13,-0.103547,0.196622,,,0.2221,43
CTSS5,1,13,5.254334,0.021439,,,0.3633,230
CTSS5,2,13,-3.312873,0.42285,,,0.9332,230
CTSS5,3,13,-5.137753,0.459976,,,0.9818,230
CTSS5,4,13,3.196292,0.095736,,,0.5025,230
CTSS7,1,13,4.690165,0.034202,,,0.1277,613
CTSS7,2,13,-0.078104,0.224197,,,0.7205,613
CTSS7,3,13,-1.8113,0.394164,,,0.8826,613
CTSS7,4,13,-2.800761,0.347438,,,0.8157,613
CTSS7+,1,13,4.705062,0.036489,,,0.2112,218
CTSS7+,2,13,-0.278209,0.227024,,,0.7548,218
CTSS7+,3,13,-0.943383,0.370933,,,0.8697,218
CTSS7+,4,13,-3.483469,0.365554,,,0.8469,218
CTSS8,1,13,4.262819,0.031357,,,0.0677,36538
CTSS8,2,13,0.348573,0.296938,,,0.6216,36538
CTSS8,3,13,-0.652431,0.310389,,,0.6194,36538
CTSS8,4,13,-3.958961,0.361316,,,0.6729,36538
CTSS8+,1,13,3.566433,0.041385,,,0.0699,1432
CTSS8+,2,13,0.217295,0.300265,,,0.5513,1432
CTSS8+,3,13,-0.036198,0.302509,,,0.5874,1432
CTSS8+,4,13,-3.74753,0.35584,,,0.5595,1432
CTSSS7+,1,13,4.121152,0.027388,,,0.0493,1131
CTSSS7+,2,13,5.109688,0.156857,,,0.2792,1131
CTSSS7+,3,13,-4.199134,0.319967,,,0.4798,1131
CTSSS7+,4,13,-4.367796,0.285351,,,0.5852,1131
CTSSS7+,5,13,-0.66391,0.210436,,,0.2512,1131
CTSSS8+,1,13,6.546766,-0.013136,,,0.0101,44
CTSSS8+,2,13,1.152961,0.284431,,,0.6359,44
CTSSS8+,3,13,-2.273473,0.345132,,,0.6434,44
CTSSS8+,4,13,1.697386,0.111624,,,0.1835,44
CTSSS8+,5,13,-7.123641,0.271949,,,0.5558,44
OU2,1,13,1.507581,0.278005,,,0.8074,89
OU2,2,13,-1.507581,0.721995,,,0.9658,89
