ID,id_trecho_,vl_br,sg_uf,nm_tipo_tr,sg_tipo_tr,desc_coinc,vl_codigo,ds_local_i,ds_local_f,vl_km_inic,vl_km_fina,vl_extensa,vl_km_i_estim,vl_km_f_estim,vl_ext_estim,ds_sup_fed,ul,ds_coinc,ds_tipo_ad,ds_jurisdi,ds_superfi,ds_legenda,sg_legenda,leg_multim,versao_snv,id_versao,classificação,GEH,A_C,B_C,C_C,D_C,E_C,F_C,G_C,H_C,I_C,J_C,A_D,B_D,C_D,D_D,E_D,F_D,G_D,H_D,I_D,J_D,VMDa_C,VMDa_D,_PESADOS_TOTAL,_is_ref,_is_est,UF
14540,158752,364,AC,Eixo Principal,B,-,364BAC1560,ENTR AC-475 (P/ ACRELÂNDIA),ENTR BR-317 (QUATRO BOCAS),31.1,98.6,67.5,31.1,98.6,67.5,PAV,Rio Branco,364BAC1560,Federal,Federal,PAV,Pavimentada,PAV,Pavimentada,202401A,74,Referencial,A,82.0,46.0,29.0,21.0,44.0,16.0,1.0,18.0,551.0,147.0,99.0,55.0,36.0,26.0,53.0,20.0,2.0,22.0,556.0,148.0,955.0,1017.0,570.0,True,False,AC
14491,151773,101,AL,Eixo Principal,B,-,101BAL0890,ENTR AL-225(A),ENTR AL-225(B) (P/PORTO REAL DO COLÉGIO),227.2,245.3,18.1,227.2,245.3,18.100000000000023,DUP,Maceió,101BAL0890,Federal,Federal,PAV,Duplicada,DUP,Duplicada,202401A,74,Referencial,A,413.0,335.0,213.0,200.0,260.0,46.0,4.0,69.0,1514.0,185.0,340.0,275.0,175.0,165.0,214.0,37.0,4.0,57.0,1529.0,187.0,3239.0,2983.0,2807.0,True,False,AL
14851,152110,104,AL,Eixo Principal,B,-,104BAL0650,ENTR BR-101(B),ENTR AL-210,83.3,92.1,8.8,83.3,92.1,8.799999999999997,DUP,Maceió,104BAL0650,Federal,Federal,PAV,Duplicada,DUP,Duplicada,202401A,74,Referencial,A,1433.0,308.0,137.0,95.0,101.0,22.0,2.0,19.0,8716.0,2195.0,1515.0,326.0,144.0,100.0,107.0,24.0,3.0,21.0,7785.0,1960.0,13028.0,11985.0,4357.0,True,False,AL
14770,155215,316,AL,Eixo Principal,B,-,316BAL1020,ENTR AL-110(B),ENTR AL-450 (MARIBONDO),193.9,201.5,7.6,193.9,201.5,7.599999999999994,PAV,Maceió,316BAL1020,Federal,Federal,PAV,Pavimentada,PAV,Pavimentada,202401A,74,Referencial,A,407.0,157.0,72.0,45.0,48.0,9.0,1.0,10.0,1721.0,227.0,462.0,178.0,81.0,52.0,55.0,10.0,1.0,12.0,1661.0,219.0,2697.0,2731.0,1600.0,True,False,AL
14938,156762,423,AL,Eixo Principal,B,-,423BAL0240,ENTR AL-140 (P/INHAPI),ENTR AL-145 (P/DELMIRO GOUVEIA),51.6,79.7,28.1,51.6,79.7,28.1,PAV,Santana do Ipanema,423BAL0240,Federal,Federal,PAV,Pavimentada,PAV,Pavimentada,202401A,74,Referencial,A,190.0,122.0,59.0,55.0,82.0,12.0,2.0,10.0,708.0,59.0,154.0,100.0,48.0,45.0,67.0,9.0,2.0,8.0,692.0,57.0,1299.0,1182.0,965.0,True,False,AL
14758,156787,424,AL,Eixo Principal,B,-,424BAL0310,ENTR BR-316(B),ENTR AL-101(A) (ILHA DE SANTA RITA),92.0,108.2,16.2,92.0,108.2,16.200000000000003,PAV,Maceió,424BAL0310,Federal,Federal,PAV,Pavimentada,PAV,Pavimentada,202401A,74,Referencial,A,833.0,299.0,172.0,185.0,198.0,68.0,4.0,60.0,3311.0,446.0,867.0,312.0,179.0,192.0,205.0,70.0,4.0,62.0,3266.0,440.0,5576.0,5597.0,3710.0,True,False,AL
18932,153486,174,AM,Eixo Principal,B,-,174BAM0570,RIO PRETO,RIO URUBÚ,966.9,983.5,16.6,966.9,983.5,16.600000000000023,PAV,Prainha,174BAM0570,Federal,Federal,PAV,Pavimentada,PAV,Pavimentada,202401A,74,Referencial,A,98.0,35.0,38.0,39.0,51.0,26.0,2.0,40.0,759.0,60.0,94.0,33.0,36.0,38.0,49.0,25.0,2.0,38.0,741.0,59.0,1148.0,1115.0,644.0,True,False,AM
12222,151333,30,BA,Eixo Principal,B,-,030BBA0335,ENTR BA-026(A)/148(A) (P/MALHADA DE PEDRAS),ENTR BA-026(B)/148(B) (P/BRUMADO - ACESSO I),512.0,529.4,17.4,512.0,529.4,17.399999999999977,PAV,Vitória da Conquista,030BBA0335,Federal,Federal,PAV,Pavimentada,PAV,Pavimentada,202401A,74,Referencial,A,287.0,229.0,29.0,48.0,53.0,30.0,11.0,12.0,982.0,213.0,270.0,215.0,27.0,45.0,49.0,28.0,10.0,11.0,930.0,202.0,1894.0,1787.0,1354.0,True,False,BA
10198,151860,101,BA,Eixo Principal,B,-,101BBA1914,ENTR BA-985 (MUNDO NOVO),ENTR BR-367(B) (EUNÁPOLIS) (P/ PORTO SEGURO),702.7,717.6,14.9,702.7,717.6,14.899999999999975,PAV,Eunápolis,101BBA1914;367BBA0030,Federal,Federal,PAV,Pavimentada,PAV,Pavimentada,202401A,74,Referencial,C,365.0,272.0,121.0,77.0,157.0,24.0,1.0,39.0,2105.0,127.0,333.0,248.0,110.0,71.0,143.0,22.0,1.0,36.0,2156.0,130.0,3288.0,3250.0,2020.0,True,False,BA
14671,152158,110,BA,Eixo Principal,B,-,110BBA0572,ENTR BA-305 (P/SANTA BRÍGIDA),JEREMOABO,37.7,75.5,37.8,37.7,75.5,37.8,PAV,Euclides da Cunha,110BBA0572,Federal,Federal,PAV,Pavimentada,PAV,Pavimentada,202401A,74,Referencial,A,151.0,137.0,84.0,70.0,138.0,15.0,1.0,28.0,600.0,45.0,174.0,159.0,97.0,82.0,160.0,18.0,2.0,33.0,564.0,42.0,1269.0,1331.0,1349.0,True,False,BA
