UF,AADTT_mean,AADTT_max,AADTT_p90,AADTT_p95
SP,7882.75,14779.00,14187.70,14483.35
PR,6072.40,15366.00,14456.10,14911.05
RJ,6059.83,11987.00,11079.50,11533.25
SC,4968.38,16423.00,8337.30,12380.15
MT,3731.00,7364.00,6796.40,7080.20
SE,3677.50,5314.00,4986.70,5150.35
DF,3528.67,6476.00,5860.00,6168.00
RS,3411.21,8810.00,7291.70,7875.95
MG,3374.17,12571.00,6657.00,8811.45
RO,2784.00,2784.00,2784.00,2784.00
AL,2687.80,4357.00,4098.20,4227.60
PE,2678.62,6184.00,4263.20,5223.60
GO,2479.42,6535.00,5490.20,6136.25
MA,2281.17,3852.00,3367.50,3609.75
BA,2254.33,8745.00,5951.90,7425.55
MS,2117.20,3403.00,3391.00,3397.00
PB,1847.57,5096.00,4750.40,4923.20
ES,1770.83,5024.00,3602.50,4313.25
CE,1501.80,4030.00,3096.40,3563.20
PA,1478.62,2943.00,2653.90,2798.45
RN,1414.57,4481.00,2865.80,3673.40
PI,1250.86,2698.00,2314.00,2506.00
TO,1120.50,3080.00,2359.40,2719.70
RR,655.00,655.00,655.00,655.00
AM,644.00,644.00,644.00,644.00
AC,570.00,570.00,570.00,570.00
