UF,VMDa_Class,n,k_classes,dominant_class,dominant_share,dominant_CI_hw,mean_CI_hw_weighted,max_CI_hw
AC,A,605,1,2C,1.0,0.0,0.0,0.0
AC,B,969,1,3C,1.0,0.0,0.0,0.0
AC,C,172,4,4CD,0.8023,0.0581,0.0561,0.0581
AC,D,148,5,2S3,0.6824,0.0744,0.0673,0.0744
AC,E,983,5,3S3,0.8016,0.0249,0.0244,0.0249
AC,F,320,4,3T4,0.925,0.0297,0.0288,0.0297
AC,H,384,2,3M6,0.5052,0.0508,0.0508,0.0508
AM,A,1025,3,2C,0.7844,0.0249,0.0248,0.0249
AM,B,2184,4,3C,0.8027,0.0169,0.0169,0.0169
AM,C,323,4,4CD,0.5449,0.0542,0.053,0.0542
AM,D,745,6,2S3,0.945,0.0161,0.0158,0.0161
AM,E,1173,7,3S3,0.8048,0.0217,0.0211,0.0217
AM,F,445,3,3T4,0.6,0.0449,0.0439,0.0449
AM,H,1495,3,3T6,0.6,0.0247,0.0231,0.0247
AP,B,901,1,3C,1.0,0.0,0.0,0.0
AP,F,184,1,3T4,1.0,0.0,0.0,0.0
AP,H,1490,1,3T6,1.0,0.0,0.0,0.0
BA,A,1071,1,2C,1.0,0.0,0.0,0.0
BA,B,1483,4,3C,0.9953,0.0037,0.0037,0.0037
BA,C,540,4,4CD,0.8296,0.0324,0.0317,0.0324
BA,D,869,5,2S3,0.9356,0.0167,0.0162,0.0167
BA,E,2682,3,3S3,0.8494,0.0136,0.0136,0.0136
BA,F,293,3,3T4,0.8805,0.0375,0.0367,0.0375
BA,H,278,2,3M6,0.5791,0.0594,0.0594,0.0594
CE,A,212,2,2C,0.9764,0.0212,0.0212,0.0212
CE,B,616,2,3C,0.9984,0.0024,0.0024,0.0024
CE,C,153,3,4CD,0.8627,0.0556,0.0539,0.0556
CE,D,213,5,2S3,0.9155,0.0399,0.0383,0.0399
CE,E,601,4,3S3,0.7438,0.0341,0.0336,0.0341
CE,H,342,2,3T6,0.5146,0.0541,0.0541,0.0541
DF,A,957,2,2C,0.9979,0.0026,0.0026,0.0026
DF,B,1157,1,3C,1.0,0.0,0.0,0.0
DF,C,287,4,4CD,0.8502,0.0401,0.0384,0.0401
DF,D,257,4,2S3,0.8716,0.0409,0.0389,0.0409
DF,E,1645,5,3S3,0.8535,0.0167,0.0166,0.0167
DF,F,734,4,3T4,0.9278,0.0184,0.0183,0.0184
DF,H,735,2,3M6,0.5469,0.0354,0.0354,0.0354
ES,A,972,3,2C,0.9918,0.0057,0.0056,0.0057
ES,B,2060,5,3C,0.983,0.0053,0.0053,0.0053
ES,C,801,4,4CD,0.7903,0.0281,0.0268,0.0281
ES,D,1236,5,2S3,0.8794,0.0178,0.017,0.0178
ES,E,4180,8,3S3,0.5978,0.0151,0.0148,0.0151
ES,F,1711,3,4DT,0.6441,0.0228,0.0228,0.0228
ES,H,669,2,3M6,0.6158,0.0366,0.0366,0.0366
GO,A,1496,3,2C,0.9866,0.0057,0.0057,0.0057
GO,B,2186,7,3C,0.9748,0.0064,0.0064,0.0064
GO,C,694,6,4CD,0.7853,0.0303,0.0291,0.0303
GO,D,624,5,2S3,0.8429,0.0296,0.0279,0.0296
GO,E,3056,4,3S3,0.8014,0.0137,0.0137,0.0137
GO,F,869,4,3T4,0.9908,0.0063,0.0063,0.0063
GO,H,1218,2,3M6,0.5624,0.0271,0.0271,0.0271
MA,A,640,2,2C,0.9547,0.0164,0.0164,0.0164
MA,B,1236,2,3C,0.9992,0.0012,0.0012,0.0012
MA,C,415,3,4CD,0.8843,0.0289,0.0285,0.0289
MA,D,311,5,2S3,0.9035,0.0306,0.0297,0.0306
MA,E,1028,6,3S3,0.8298,0.0224,0.0222,0.0224
MA,F,520,3,3T4,0.9423,0.0192,0.0189,0.0192
MA,H,1679,3,3T6,0.5313,0.0232,0.0221,0.0232
MG,A,2376,4,2C,0.9769,0.0061,0.0061,0.0061
MG,B,5680,6,3C,0.9796,0.0037,0.0037,0.0037
MG,C,1591,7,4CD,0.7957,0.0198,0.0187,0.0198
MG,D,1686,5,2S3,0.9015,0.0139,0.0133,0.0139
MG,E,8933,6,3S3,0.707,0.0091,0.009,0.0091
MG,F,1844,4,4DT,0.5174,0.0217,0.0214,0.022
MG,H,1362,2,3M6,0.5837,0.0261,0.0261,0.0261
MS,A,128,3,2C,0.9688,0.0312,0.0309,0.0312
MS,B,226,3,3C,0.9823,0.0177,0.0176,0.0177
MS,E,664,5,3S3,0.8419,0.0271,0.0267,0.0271
MS,F,898,3,3T4,0.9298,0.0161,0.0161,0.0161
MS,H,1198,3,3T6,0.8614,0.0196,0.0189,0.0196
MT,B,765,4,3C,0.9961,0.0046,0.0046,0.0046
MT,C,165,6,4CD,0.7394,0.0667,0.0615,0.0667
MT,D,382,6,3S2,0.6649,0.0471,0.0449,0.0471
MT,E,1869,7,3S3,0.924,0.0118,0.0115,0.0118
MT,F,1353,5,3T4,0.9601,0.01,0.0098,0.01
MT,H,9928,3,3T6,0.6393,0.0093,0.0093,0.0093
PA,A,4853,4,2C,0.6734,0.0131,0.0131,0.0131
PA,B,5376,4,3C,0.9846,0.0033,0.0033,0.0033
PA,C,2743,6,4CD,0.6672,0.0175,0.0167,0.0175
PA,D,3794,7,2S3,0.894,0.0099,0.0094,0.0099
PA,E,8203,9,3S3,0.8004,0.0088,0.0084,0.0088
PA,F,1435,4,3T4,0.5171,0.0247,0.0241,0.0247
PA,G,106,3,3V5,0.566,0.0943,0.0907,0.0943
PA,H,3098,4,3M6,0.7611,0.0155,0.0146,0.0155
PB,A,1369,1,2C,1.0,0.0,0.0,0.0
PB,B,1889,2,3C,0.9984,0.0019,0.0019,0.0019
PB,C,331,3,4CD,0.9366,0.0257,0.0255,0.0257
PB,D,199,4,2S3,0.9447,0.0327,0.0319,0.0327
PB,E,540,4,3S3,0.6574,0.0407,0.0405,0.0407
PB,H,166,2,3M6,0.5723,0.0723,0.0723,0.0723
PI,B,697,2,3C,0.9986,0.0022,0.0022,0.0022
PI,C,264,4,4CD,0.9205,0.0304,0.0296,0.0304
PI,D,160,4,2S3,0.85,0.0531,0.0504,0.0531
PI,E,680,4,3S3,0.6,0.0368,0.0359,0.0368
PI,F,124,2,3T4,0.9919,0.0121,0.0121,0.0121
PI,H,826,2,3T6,0.5884,0.0345,0.0345,0.0345
PR,A,630,2,2C,0.981,0.0103,0.0103,0.0103
PR,B,1779,3,3C,0.9927,0.0042,0.0042,0.0042
PR,C,962,5,4CD,0.9148,0.0177,0.0173,0.0177
PR,D,351,6,2S3,0.8034,0.0413,0.0379,0.0413
PR,E,4323,6,3S3,0.7784,0.0125,0.0124,0.0125
PR,F,3912,4,3T4,0.9624,0.0059,0.0058,0.0059
PR,H,2857,2,3M6,0.5166,0.0182,0.0182,0.0182
RJ,A,1892,2,2C,0.7548,0.0188,0.0188,0.0188
RJ,B,624,2,3C,0.9984,0.0024,0.0024,0.0024
RN,A,690,2,2C,0.987,0.008,0.008,0.008
RN,B,1117,3,3C,0.9946,0.0045,0.0045,0.0045
RN,C,281,3,4CD,0.6797,0.0534,0.0522,0.0534
RN,D,513,6,2S3,0.9318,0.0224,0.0217,0.0224
RN,E,1014,6,3S3,0.6834,0.0276,0.0271,0.0276
RN,H,268,2,3M6,0.597,0.0578,0.0578,0.0578
RO,A,460,1,2C,1.0,0.0,0.0,0.0
RO,B,935,2,3C,0.9989,0.0016,0.0016,0.0016
RO,C,367,5,4CD,0.8474,0.0368,0.035,0.0368
RO,D,210,5,2S3,0.781,0.0571,0.0523,0.0571
RO,E,2027,7,3S3,0.8485,0.0153,0.0152,0.0153
RO,F,1130,4,3T4,0.9743,0.0088,0.0088,0.0088
RO,H,3646,2,3M6,0.5359,0.0162,0.0162,0.0162
RS,A,185,1,2C,1.0,0.0,0.0,0.0
RS,B,531,2,3C,0.7721,0.0348,0.0348,0.0348
RS,C,147,3,4CD,0.9048,0.0476,0.0463,0.0476
RS,D,227,4,2S3,0.9163,0.0374,0.0362,0.0374
RS,E,679,5,3S3,0.8645,0.0265,0.0257,0.0265
RS,F,475,3,3T4,0.9116,0.0253,0.0252,0.0253
SC,A,383,3,2C,0.9896,0.0091,0.0091,0.0091
SC,B,1054,4,3C,0.9943,0.0043,0.0043,0.0043
SC,C,546,6,4CD,0.9359,0.0201,0.0197,0.0201
SC,D,106,6,2S3,0.7547,0.0802,0.0721,0.0802
SC,E,1780,5,3S3,0.8798,0.0146,0.0145,0.0146
SC,F,732,4,3T4,0.9358,0.0178,0.0176,0.0178
SC,H,596,2,3T6,0.5419,0.0403,0.0403,0.0403
TO,A,187,1,2C,1.0,0.0,0.0,0.0
TO,B,1012,2,3C,0.999,0.0015,0.0015,0.0015
TO,C,537,3,4CD,0.879,0.0279,0.0271,0.0279
TO,D,655,4,2S3,0.9206,0.0198,0.0193,0.0198
TO,E,1936,3,3S3,0.8523,0.0152,0.0152,0.0152
TO,F,352,1,3D4,1.0,0.0,0.0,0.0
TO,H,340,4,3M6,0.5853,0.0515,0.0505,0.0515
