uf,year,br,config,lanes_per_dir,vmd_dir,pct_7019,t_lane1_s,t_lane2_s,std_lane1_s,std_lane2_s,t_3lane_s
AC,2023,364,PAV,1,313,4,276.04,,138.02,,345.05/1533.55/13801.92
AL,2021,104,PAV,1,542,8,159.41,,79.7,,199.26/885.61/7970.48
AL,2023,104,DUP,2,2240,32,45.38,257.14,22.69,128.57,48.21/214.29/1928.57
AM,2023,174,PAV,1,329,5,262.61,,131.31,,328.27/1458.97/13130.70
BA,2021,324,DUP,2,5000,71,20.33,115.2,10.16,57.6,21.60/96.00/864.00
BA,2023,324,DUP,2,4541,65,22.38,126.84,11.19,63.42,23.78/105.70/951.33
CE,2021,116,PAV,1,1942,28,44.49,,22.25,,55.61/247.17/2224.51
CE,2023,116,PAV,1,2103,30,41.08,,20.54,,51.36/228.25/2054.21
DF,2023,10,DUP,2,3511,50,28.95,164.06,14.48,82.03,30.76/136.71/1230.42
ES,2021,101,PAV,1,2606,37,33.15,,16.58,,41.44/184.19/1657.71
ES,2023,101,PAV,1,2546,36,33.94,,16.97,,42.42/188.53/1696.78
GO,2021,60,DUP,2,3166,45,32.11,181.93,16.05,90.97,34.11/151.61/1364.50
GO,2023,60,DUP,2,3297,47,30.83,174.7,15.42,87.35,32.76/145.59/1310.28
MA,2021,135,PAV,1,1725,25,50.09,,25.04,,62.61/278.26/2504.35
MA,2023,135,PAV,1,1994,28,43.33,,21.66,,54.16/240.72/2166.50
MG,2021,381,DUP,2,6466,92,15.72,89.08,7.86,44.54,16.70/74.23/668.11
MG,2023,381,DUP,2,6470,92,15.71,89.03,7.86,44.51,16.69/74.19/667.70
MS,2021,60,PAV,1,1644,23,52.55,,26.28,,65.69/291.97/2627.74
MS,2023,60,PAV,1,1755,25,49.23,,24.62,,61.54/273.50/2461.54
MT,2021,70,PAV,1,3403,48,25.39,,12.69,,31.74/141.05/1269.47
MT,2023,70,DUP,2,4232,60,24.02,136.11,12.01,68.05,25.52/113.42/1020.79
PA,2021,10,PAV,1,1861,27,46.43,,23.21,,58.03/257.93/2321.33
PA,2023,10,PAV,1,1482,21,58.3,,29.15,,72.87/323.89/2914.98
PB,2021,101,DUP,2,2739,39,37.11,210.3,18.56,105.15,39.43/175.25/1577.22
PB,2023,101,DUP,2,2635,38,38.58,218.6,19.29,109.3,40.99/182.16/1639.47
PE,2021,232,DUP,2,3072,44,33.09,187.5,16.54,93.75,35.16/156.25/1406.25
PE,2023,232,DUP,2,3100,44,32.79,185.81,16.39,92.9,34.84/154.84/1393.55
PI,2021,316,PAV,1,631,9,136.93,,68.46,,171.16/760.70/6846.28
PI,2023,316,PAV,1,1387,20,62.29,,31.15,,77.87/346.07/3114.64
PR,2021,116,DUP,2,7061,101,14.4,81.57,7.2,40.79,15.30/67.98/611.81
PR,2023,116,DUP,2,7699,110,13.2,74.81,6.6,37.41,14.03/62.35/561.11
RJ,2021,116,DUP,2,6387,91,15.91,90.18,7.96,45.09,16.91/75.15/676.37
RJ,2023,116,DUP,2,6230,89,16.32,92.46,8.16,46.23,17.34/77.05/693.42
RN,2021,101,DUP,2,2244,32,45.3,256.68,22.65,128.34,48.13/213.90/1925.13
RN,2023,101,DUP,2,2300,33,44.19,250.43,22.1,125.22,46.96/208.70/1878.26
RO,2023,364,PAV,1,1407,20,61.41,,30.7,,76.76/341.15/3070.36
RR,2023,174,PAV,1,345,5,250.43,,125.22,,313.04/1391.30/12521.74
RS,2021,116,DUP,2,6047,86,16.81,95.25,8.4,47.63,17.86/79.38/714.40
RS,2023,116,DUP,2,5058,72,20.1,113.88,10.05,56.94,21.35/94.90/854.09
SC,2021,101,DUP,2,6691,95,15.19,86.09,7.6,43.04,16.14/71.74/645.64
SC,2023,101,DUP,2,8414,120,12.08,68.46,6.04,34.23,12.84/57.05/513.43
SE,2021,101,DUP,2,3153,45,32.24,182.68,16.12,91.34,34.25/152.24/1370.12
SE,2023,101,DUP,2,2808,40,36.2,205.13,18.1,102.56,38.46/170.94/1538.46
SP,2021,116,DUP,2,8900,127,11.42,64.72,5.71,32.36,12.13/53.93/485.39
SP,2023,116,DUP,2,7499,107,13.55,76.81,6.78,38.41,14.40/64.01/576.08
TO,2021,153,PAV,1,1159,17,74.55,,37.27,,93.18/414.15/3727.35
TO,2023,153,PAV,1,1562,22,55.31,,27.66,,69.14/307.30/2765.69
