bridge,system,span_m,n_girders,load_effect,unit,envelope_q117,governing_stream,governing_group,runner_up_stream,margin_pct,spread_pct,tb45_static,portela_static,rossigali_q117,envelope_over_tb45,envelope_over_rossigali,envelope_over_portela
C-10,two_span_continuous,10,2,M+,kN.m,1274.195,PR,intermediate,MG,2.89,25.36,905.61,1650.29,1137.002,1.407002,1.120662,0.772104
C-10,two_span_continuous,10,2,M-,kN.m,1340.324,PR,intermediate,MT,2.23,19.74,749.86,1159.09,1110.488,1.787432,1.206968,1.156359
C-10,two_span_continuous,10,2,V,kN,775.962,PR,intermediate,MT,1.84,22.96,536.89,961.96,682.624,1.44529,1.136734,0.806647
C-20,two_span_continuous,20,2,M+,kN.m,3748.351,PR,intermediate,MT,3.96,27.47,2572.31,4136.22,3217.504,1.457193,1.164987,0.906226
C-20,two_span_continuous,20,2,M-,kN.m,3183.799,MT,heavy,PR,1.87,36.31,2324.36,2699.65,2140.06,1.369753,1.487715,1.179338
C-20,two_span_continuous,20,2,V,kN,1151.715,PR,intermediate,MT,0.57,29.41,748.55,1181.79,836.9,1.538595,1.376168,0.974551
C-30,two_span_continuous,30,2,M+,kN.m,7172.887,PR,intermediate,MT,1.01,23.53,4773.18,6900.81,6098.32,1.502748,1.176207,1.039427
C-30,two_span_continuous,30,2,M-,kN.m,5347.779,PR,intermediate,MT,1.07,41.66,4672.92,4300.96,4241.298,1.144419,1.260883,1.243392
C-30,two_span_continuous,30,2,V,kN,1393.949,PR,intermediate,MT,0.26,23.86,958.66,1314.46,1110.995,1.45406,1.254685,1.060473
C-30*,two_span_continuous,30,5,M+,kN.m,3413.404,MT,heavy,PR,2.17,17.26,2190.05,2988.92,2556.056,1.558596,1.335418,1.142019
C-30*,two_span_continuous,30,5,M-,kN.m,2444.641,SC,intermediate,PR,1.53,22.74,1948.51,1894.97,2053.989,1.254621,1.190192,1.290068
C-30*,two_span_continuous,30,5,V,kN,698.943,MT,heavy,PR,1.04,9.34,439.47,568.96,536.995,1.590423,1.301582,1.228457
C-40,two_span_continuous,40,5,M+,kN.m,5090.164,MT,heavy,PR,2.57,18.64,3402.73,4339.77,3715.657,1.495906,1.369923,1.172911
C-40,two_span_continuous,40,5,M-,kN.m,3797.19,SC,intermediate,PR,2.43,32.77,3289.98,2703.2,3150.764,1.154168,1.205165,1.404702
C-40,two_span_continuous,40,5,V,kN,760.822,MT,heavy,PR,0.92,15.53,524.58,633.09,569.021,1.450345,1.337072,1.20176
C-50,two_span_continuous,50,5,M+,kN.m,6766.384,MT,heavy,PR,1.92,19.82,4818.67,5744.08,4527.095,1.404202,1.494641,1.177975
C-50,two_span_continuous,50,5,M-,kN.m,5321.43,SC,intermediate,PR,0.21,51.58,4950.17,3532.94,4307.04,1.074999,1.235519,1.506233
C-50,two_span_continuous,50,5,V,kN,826.358,MT,heavy,PR,4.15,17.84,606.8,686.73,595.543,1.361829,1.387571,1.203323
S-10,simply_supported,10,2,M+,kN.m,1614.193,PR,intermediate,RJ,2.91,26.37,1147.46,1996.72,1472.041,1.406753,1.096568,0.808422
S-10,simply_supported,10,2,V,kN,695.99,PR,intermediate,MT,3.26,24.52,472.63,903.22,644.331,1.47259,1.080175,0.770565
S-20,simply_supported,20,2,M+,kN.m,4754.276,PR,intermediate,MT,2.08,26.14,3237.04,5001.62,4060.259,1.468711,1.170929,0.950547
S-20,simply_supported,20,2,V,kN,1062.668,PR,intermediate,MT,1.0,23.55,657.02,1109.99,903.971,1.617406,1.175555,0.957367
S-30,simply_supported,30,2,M+,kN.m,9211.425,MT,heavy,PR,1.19,21.33,6152.52,8578.75,7468.32,1.497179,1.2334,1.073749
S-30,simply_supported,30,2,V,kN,1323.052,MT,heavy,PR,1.94,23.66,821.24,1219.21,1011.197,1.611042,1.308402,1.085172
S-30*,simply_supported,30,5,M+,kN.m,4359.022,MT,heavy,PR,2.26,18.62,2774.62,3779.35,3302.171,1.571034,1.320047,1.153379
S-30*,simply_supported,30,5,V,kN,695.981,MT,heavy,PR,1.4,14.99,385.25,524.55,503.7,1.80657,1.381737,1.326815
S-40,simply_supported,40,5,M+,kN.m,6393.341,MT,heavy,PR,1.37,21.05,4337.14,5499.1,4428.259,1.474091,1.44376,1.162616
S-40,simply_supported,40,5,V,kN,754.157,MT,heavy,PR,1.64,12.14,450.89,575.59,564.17,1.672596,1.336755,1.310233
S-50,simply_supported,50,5,M+,kN.m,8426.618,MT,heavy,PR,0.67,23.09,6150.47,7267.45,6735.895,1.370077,1.251002,1.159501
S-50,simply_supported,50,5,V,kN,794.79,MT,heavy,PR,0.84,12.77,512.9,617.03,562.642,1.5496,1.412603,1.28809
