bridge,bridge_slug,effort,composition,volume,AADTT,n_days,threshold_u,n_tail,n_recorded,Q117,R2,R1_mean_log_daily_max,mean_daily_max
C-20,lc20,M+,mg,p25,502.0,30,1161.2671180957568,2911,8316,2918.6398353516224,1371.9555363881261,7.500075091986217,1813.859435321523
C-20,lc20,M+,mg,p50,1092.0,30,1161.2671180957568,6439,18193,2932.7340444536153,1471.0627966997288,7.533312926563339,1873.5139351530593
C-20,lc20,M+,mg,pb,2635.0,30,1161.2671180957568,15344,43559,3019.921516105668,1584.4723436321335,7.593579176676916,1987.793168081861
C-20,lc20,M+,mg,mg,6470.0,30,1161.2671180957568,38353,106950,3162.994151595599,1719.691324316207,7.65231270612395,2108.612504502915
C-20,lc20,M+,mg,sc,8414.0,30,1161.2671180957568,50565,138399,3194.858405328559,1759.8003724720718,7.682919651107528,2173.8809144187985
C-20,lc20,M+,mt,p25,502.0,30,1161.2671180957568,5526,11006,2785.119945550943,1462.291761046921,7.5174434733864155,1844.108627611565
C-20,lc20,M+,mt,p50,1092.0,30,1161.2671180957568,12264,23847,2960.9894564657357,1576.7643270204921,7.586257213505574,1974.8466652652567
C-20,lc20,M+,mt,pb,2635.0,30,1161.2671180957568,29896,57793,3103.67987246388,1694.304599132499,7.643297451307354,2089.2485289792903
C-20,lc20,M+,mt,mg,6470.0,30,1161.2671180957568,74579,141592,3273.513481616861,1838.9876611056034,7.73251582953066,2286.1320498203936
C-20,lc20,M+,mt,sc,8414.0,30,1161.2671180957568,96835,181394,3296.20050819781,1883.5040933584098,7.738890836550898,2299.161989503599
C-20,lc20,M+,pb,p25,502.0,30,1161.2671180957568,1000,3917,2400.072302914802,1237.1454764559846,7.3845258135949825,1613.9769175389158
C-20,lc20,M+,pb,p50,1092.0,30,1161.2671180957568,2129,8618,2620.384210409631,1325.1377294792528,7.428066327419671,1686.4519528669916
C-20,lc20,M+,pb,pb,2635.0,30,1161.2671180957568,5212,21144,2716.134466721999,1423.5283705356346,7.494710642763707,1801.399628317639
C-20,lc20,M+,pb,mg,6470.0,30,1161.2671180957568,13048,52196,2858.7215842596715,1535.2602843821487,7.556682594504379,1917.604433397806
C-20,lc20,M+,pb,sc,8414.0,30,1161.2671180957568,17163,68100,2883.7997624135214,1569.3282357939581,7.581962950374321,1965.7564416043072
C-20,lc20,M-,mg,p25,502.0,30,797.8027873049663,2951,8570,2311.705830498643,1220.9344669269553,7.339384308436085,1542.6292375669725
C-20,lc20,M-,mg,p50,1092.0,30,797.8027873049663,6400,18825,2330.7029488068656,1300.5981526232881,7.393505449864667,1629.966468083075
C-20,lc20,M-,mg,pb,2635.0,30,797.8027873049663,15642,45520,2446.970095766592,1394.0735128719577,7.458086761960603,1736.6199517104762
C-20,lc20,M-,mg,mg,6470.0,30,797.8027873049663,40891,114340,2616.783924358555,1505.5660363033069,7.535093924843607,1876.9598338467702
C-20,lc20,M-,mg,sc,8414.0,30,797.8027873049663,55136,149564,2686.451951863208,1551.5186425845297,7.559501017802391,1924.1321453396679
C-20,lc20,M-,mt,p25,502.0,30,797.8027873049663,6383,11452,1989.783841067524,1348.551246924914,7.427476923001847,1685.518910181353
C-20,lc20,M-,mt,p50,1092.0,30,797.8027873049663,14039,24894,2069.5570538548504,1445.1923939334622,7.494823915521969,1802.4944198897958
