stream,composition_group,bridge,system,span_m,n_girders,load_effect,unit,q117,governing_lane_layout,governing_section,governing_girder
MG,intermediate,C-10,two_span_continuous,10,2,M+,kN.m,1238.454,3s,second_span_0.4L,1
MT,heavy,C-10,two_span_continuous,10,2,M+,kN.m,1198.126,3s,second_span_0.4L,1
PB,light,C-10,two_span_continuous,10,2,M+,kN.m,1016.459,3s,second_span_0.4L,1
PR,intermediate,C-10,two_span_continuous,10,2,M+,kN.m,1274.195,3o,second_span_0.4L,1
RJ,light,C-10,two_span_continuous,10,2,M+,kN.m,1233.173,3s,second_span_0.4L,1
SC,intermediate,C-10,two_span_continuous,10,2,M+,kN.m,1213.32,2o,second_span_0.4L,1
SP,light,C-10,two_span_continuous,10,2,M+,kN.m,1219.741,3s,second_span_0.4L,1
ROSSIGALI,,C-10,two_span_continuous,10,2,M+,kN.m,1137.002,2o,first_span_0.4L,1
MG,intermediate,C-10,two_span_continuous,10,2,M-,kN.m,1284.474,3s,central_support,1
MT,heavy,C-10,two_span_continuous,10,2,M-,kN.m,1311.059,3s,central_support,1
PB,light,C-10,two_span_continuous,10,2,M-,kN.m,1119.324,2o,central_support,1
PR,intermediate,C-10,two_span_continuous,10,2,M-,kN.m,1340.324,3s,central_support,1
RJ,light,C-10,two_span_continuous,10,2,M-,kN.m,1249.011,3o,central_support,1
SC,intermediate,C-10,two_span_continuous,10,2,M-,kN.m,1296.819,3s,central_support,1
SP,light,C-10,two_span_continuous,10,2,M-,kN.m,1234.477,3o,central_support,1
ROSSIGALI,,C-10,two_span_continuous,10,2,M-,kN.m,1110.488,3s,central_support,1
MG,intermediate,C-10,two_span_continuous,10,2,V,kN,739.531,3s,central_support,1
MT,heavy,C-10,two_span_continuous,10,2,V,kN,761.929,3s,central_support,1
PB,light,C-10,two_span_continuous,10,2,V,kN,631.078,2o,central_support,1
PR,intermediate,C-10,two_span_continuous,10,2,V,kN,775.962,3s,central_support,1
RJ,light,C-10,two_span_continuous,10,2,V,kN,701.139,2o,central_support,1
SC,intermediate,C-10,two_span_continuous,10,2,V,kN,760.382,3s,central_support,1
SP,light,C-10,two_span_continuous,10,2,V,kN,715.906,3o,central_support,1
ROSSIGALI,,C-10,two_span_continuous,10,2,V,kN,682.624,3s,central_support,1
MG,intermediate,C-20,two_span_continuous,20,2,M+,kN.m,3541.101,3s,first_span_0.4L,1
MT,heavy,C-20,two_span_continuous,20,2,M+,kN.m,3605.443,3o,second_span_0.4L,1
PB,light,C-20,two_span_continuous,20,2,M+,kN.m,2940.529,2o,first_span_0.4L,1
PR,intermediate,C-20,two_span_continuous,20,2,M+,kN.m,3748.351,3s,first_span_0.4L,1
RJ,light,C-20,two_span_continuous,20,2,M+,kN.m,3283.338,3o,first_span_0.4L,1
SC,intermediate,C-20,two_span_continuous,20,2,M+,kN.m,3554.929,3s,first_span_0.4L,1
SP,light,C-20,two_span_continuous,20,2,M+,kN.m,3466.302,3o,first_span_0.4L,1
ROSSIGALI,,C-20,two_span_continuous,20,2,M+,kN.m,3217.504,3s,first_span_0.4L,1
MG,intermediate,C-20,two_span_continuous,20,2,M-,kN.m,3025.536,3s,central_support,1
MT,heavy,C-20,two_span_continuous,20,2,M-,kN.m,3183.799,3o,central_support,1
PB,light,C-20,two_span_continuous,20,2,M-,kN.m,2335.71,2o,central_support,1
PR,intermediate,C-20,two_span_continuous,20,2,M-,kN.m,3125.407,3s,central_support,1
RJ,light,C-20,two_span_continuous,20,2,M-,kN.m,2802.016,3s,central_support,1
SC,intermediate,C-20,two_span_continuous,20,2,M-,kN.m,2992.768,3s,central_support,1
SP,light,C-20,two_span_continuous,20,2,M-,kN.m,2900.664,3o,central_support,1
ROSSIGALI,,C-20,two_span_continuous,20,2,M-,kN.m,2140.06,2o,central_support,1
MG,intermediate,C-20,two_span_continuous,20,2,V,kN,1113.491,3s,central_support,1
MT,heavy,C-20,two_span_continuous,20,2,V,kN,1145.241,3s,central_support,1
PB,light,C-20,two_span_continuous,20,2,V,kN,889.97,2o,central_support,1
PR,intermediate,C-20,two_span_continuous,20,2,V,kN,1151.715,3s,central_support,1
RJ,light,C-20,two_span_continuous,20,2,V,kN,941.3,2o,central_support,1
SC,intermediate,C-20,two_span_continuous,20,2,V,kN,1056.404,3s,central_support,1
SP,light,C-20,two_span_continuous,20,2,V,kN,1057.527,3o,central_support,1
ROSSIGALI,,C-20,two_span_continuous,20,2,V,kN,836.9,3o,central_support,1
MG,intermediate,C-30,two_span_continuous,30,2,M+,kN.m,6761.78,3o,first_span_0.4L,1
MT,heavy,C-30,two_span_continuous,30,2,M+,kN.m,7101.255,3o,first_span_0.4L,1
PB,light,C-30,two_span_continuous,30,2,M+,kN.m,5806.368,2o,second_span_0.4L,1
PR,intermediate,C-30,two_span_continuous,30,2,M+,kN.m,7172.887,3s,first_span_0.4L,1
RJ,light,C-30,two_span_continuous,30,2,M+,kN.m,6180.349,3s,second_span_0.4L,1
SC,intermediate,C-30,two_span_continuous,30,2,M+,kN.m,6868.931,3s,first_span_0.4L,1
SP,light,C-30,two_span_continuous,30,2,M+,kN.m,6435.746,3o,second_span_0.4L,1
ROSSIGALI,,C-30,two_span_continuous,30,2,M+,kN.m,6098.32,3o,first_span_0.4L,1
MG,intermediate,C-30,two_span_continuous,30,2,M-,kN.m,4998.234,3s,central_support,1
MT,heavy,C-30,two_span_continuous,30,2,M-,kN.m,5290.917,3s,central_support,1
PB,light,C-30,two_span_continuous,30,2,M-,kN.m,3775.047,2o,central_support,1
PR,intermediate,C-30,two_span_continuous,30,2,M-,kN.m,5347.779,3s,central_support,1
RJ,light,C-30,two_span_continuous,30,2,M-,kN.m,4267.348,3s,central_support,1
SC,intermediate,C-30,two_span_continuous,30,2,M-,kN.m,4868.832,3o,central_support,1
SP,light,C-30,two_span_continuous,30,2,M-,kN.m,4622.351,3s,central_support,1
ROSSIGALI,,C-30,two_span_continuous,30,2,M-,kN.m,4241.298,3s,central_support,1
MG,intermediate,C-30,two_span_continuous,30,2,V,kN,1314.807,3o,central_support,1
MT,heavy,C-30,two_span_continuous,30,2,V,kN,1390.378,3o,central_support,1
PB,light,C-30,two_span_continuous,30,2,V,kN,1125.426,2o,central_support,1
PR,intermediate,C-30,two_span_continuous,30,2,V,kN,1393.949,3s,central_support,1
RJ,light,C-30,two_span_continuous,30,2,V,kN,1223.578,3s,central_support,1
SC,intermediate,C-30,two_span_continuous,30,2,V,kN,1335.816,3s,central_support,1
SP,light,C-30,two_span_continuous,30,2,V,kN,1230.262,3o,central_support,1
ROSSIGALI,,C-30,two_span_continuous,30,2,V,kN,1110.995,3o,central_support,1
MG,intermediate,C-30*,two_span_continuous,30,5,M+,kN.m,3247.91,3o,first_span_0.4L,1
MT,heavy,C-30*,two_span_continuous,30,5,M+,kN.m,3413.404,3o,first_span_0.4L,1
PB,light,C-30*,two_span_continuous,30,5,M+,kN.m,2965.384,2o,first_span_0.4L,1
PR,intermediate,C-30*,two_span_continuous,30,5,M+,kN.m,3340.833,3s,first_span_0.4L,1
RJ,light,C-30*,two_span_continuous,30,5,M+,kN.m,2910.937,3s,first_span_0.4L,1
SC,intermediate,C-30*,two_span_continuous,30,5,M+,kN.m,3195.012,3o,first_span_0.4L,1
SP,light,C-30*,two_span_continuous,30,5,M+,kN.m,3164.562,2o,first_span_0.4L,1
ROSSIGALI,,C-30*,two_span_continuous,30,5,M+,kN.m,2556.056,3o,first_span_0.4L,1
MG,intermediate,C-30*,two_span_continuous,30,5,M-,kN.m,2283.714,3o,central_support,1
MT,heavy,C-30*,two_span_continuous,30,5,M-,kN.m,2373.509,3o,central_support,1
PB,light,C-30*,two_span_continuous,30,5,M-,kN.m,1991.802,2o,central_support,1
PR,intermediate,C-30*,two_span_continuous,30,5,M-,kN.m,2407.784,2o,central_support,1
RJ,light,C-30*,two_span_continuous,30,5,M-,kN.m,2223.698,2o,central_support,1
SC,intermediate,C-30*,two_span_continuous,30,5,M-,kN.m,2444.641,2o,central_support,1
SP,light,C-30*,two_span_continuous,30,5,M-,kN.m,2284.076,2o,central_support,1
ROSSIGALI,,C-30*,two_span_continuous,30,5,M-,kN.m,2053.989,2s,central_support,1
MG,intermediate,C-30*,two_span_continuous,30,5,V,kN,686.768,2o,central_support,1
MT,heavy,C-30*,two_span_continuous,30,5,V,kN,698.943,2s,central_support,1
PB,light,C-30*,two_span_continuous,30,5,V,kN,639.218,2o,central_support,1
PR,intermediate,C-30*,two_span_continuous,30,5,V,kN,691.764,2o,central_support,1
RJ,light,C-30*,two_span_continuous,30,5,V,kN,640.758,3s,central_support,1
SC,intermediate,C-30*,two_span_continuous,30,5,V,kN,672.558,2o,central_support,1
SP,light,C-30*,two_span_continuous,30,5,V,kN,667.958,2o,central_support,1
ROSSIGALI,,C-30*,two_span_continuous,30,5,V,kN,536.995,3o,central_support,1
MG,intermediate,C-40,two_span_continuous,40,5,M+,kN.m,4882.705,3s,first_span_0.4L,1
MT,heavy,C-40,two_span_continuous,40,5,M+,kN.m,5090.164,3o,first_span_0.4L,1
PB,light,C-40,two_span_continuous,40,5,M+,kN.m,4315.92,2o,first_span_0.4L,1
PR,intermediate,C-40,two_span_continuous,40,5,M+,kN.m,4962.412,3s,first_span_0.4L,1
RJ,light,C-40,two_span_continuous,40,5,M+,kN.m,4300.927,3s,first_span_0.4L,1
SC,intermediate,C-40,two_span_continuous,40,5,M+,kN.m,4290.376,2o,first_span_0.4L,1
SP,light,C-40,two_span_continuous,40,5,M+,kN.m,4605.979,3o,first_span_0.4L,1
ROSSIGALI,,C-40,two_span_continuous,40,5,M+,kN.m,3715.657,3s,first_span_0.4L,1
MG,intermediate,C-40,two_span_continuous,40,5,M-,kN.m,3386.557,3o,central_support,1
MT,heavy,C-40,two_span_continuous,40,5,M-,kN.m,3572.772,3s,central_support,1
PB,light,C-40,two_span_continuous,40,5,M-,kN.m,2859.91,2o,central_support,1
PR,intermediate,C-40,two_span_continuous,40,5,M-,kN.m,3707.111,2o,central_support,1
RJ,light,C-40,two_span_continuous,40,5,M-,kN.m,3175.631,2o,central_support,1
SC,intermediate,C-40,two_span_continuous,40,5,M-,kN.m,3797.19,2o,central_support,1
SP,light,C-40,two_span_continuous,40,5,M-,kN.m,3357.076,2o,central_support,1
ROSSIGALI,,C-40,two_span_continuous,40,5,M-,kN.m,3150.764,2s,central_support,1
MG,intermediate,C-40,two_span_continuous,40,5,V,kN,744.635,3s,central_support,1
MT,heavy,C-40,two_span_continuous,40,5,V,kN,760.822,2s,central_support,1
PB,light,C-40,two_span_continuous,40,5,V,kN,692.831,2o,central_support,1
PR,intermediate,C-40,two_span_continuous,40,5,V,kN,753.866,3s,central_support,1
RJ,light,C-40,two_span_continuous,40,5,V,kN,658.524,3s,central_support,1
SC,intermediate,C-40,two_span_continuous,40,5,V,kN,684.436,2o,central_support,1
SP,light,C-40,two_span_continuous,40,5,V,kN,709.896,2o,central_support,1
ROSSIGALI,,C-40,two_span_continuous,40,5,V,kN,569.021,3s,central_support,1
MG,intermediate,C-50,two_span_continuous,50,5,M+,kN.m,6460.252,3s,first_span_0.4L,1
MT,heavy,C-50,two_span_continuous,50,5,M+,kN.m,6766.384,3s,first_span_0.4L,1
PB,light,C-50,two_span_continuous,50,5,M+,kN.m,5725.211,2o,first_span_0.4L,1
PR,intermediate,C-50,two_span_continuous,50,5,M+,kN.m,6638.655,3s,first_span_0.4L,1
RJ,light,C-50,two_span_continuous,50,5,M+,kN.m,5720.442,3s,first_span_0.4L,1
SC,intermediate,C-50,two_span_continuous,50,5,M+,kN.m,5647.189,3o,first_span_0.4L,1
SP,light,C-50,two_span_continuous,50,5,M+,kN.m,5986.74,2o,first_span_0.4L,1
ROSSIGALI,,C-50,two_span_continuous,50,5,M+,kN.m,4527.095,3s,first_span_0.4L,1
MG,intermediate,C-50,two_span_continuous,50,5,M-,kN.m,4645.689,3s,central_support,1
MT,heavy,C-50,two_span_continuous,50,5,M-,kN.m,4840.128,3s,central_support,1
PB,light,C-50,two_span_continuous,50,5,M-,kN.m,3510.6,3o,central_support,1
PR,intermediate,C-50,two_span_continuous,50,5,M-,kN.m,5310.301,2o,central_support,1
RJ,light,C-50,two_span_continuous,50,5,M-,kN.m,4195.228,3o,central_support,1
SC,intermediate,C-50,two_span_continuous,50,5,M-,kN.m,5321.43,2o,central_support,1
SP,light,C-50,two_span_continuous,50,5,M-,kN.m,4658.94,2o,central_support,1
ROSSIGALI,,C-50,two_span_continuous,50,5,M-,kN.m,4307.04,2s,central_support,1
MG,intermediate,C-50,two_span_continuous,50,5,V,kN,784.539,3s,central_support,1
MT,heavy,C-50,two_span_continuous,50,5,V,kN,826.358,3s,central_support,1
PB,light,C-50,two_span_continuous,50,5,V,kN,701.253,2o,central_support,1
PR,intermediate,C-50,two_span_continuous,50,5,V,kN,793.406,3o,central_support,1
RJ,light,C-50,two_span_continuous,50,5,V,kN,709.587,3s,central_support,1
SC,intermediate,C-50,two_span_continuous,50,5,V,kN,715.058,2o,central_support,1
SP,light,C-50,two_span_continuous,50,5,V,kN,755.707,2o,central_support,1
ROSSIGALI,,C-50,two_span_continuous,50,5,V,kN,595.543,3o,central_support,1
MG,intermediate,S-10,simply_supported,10,2,M+,kN.m,1531.405,3s,midspan,1
MT,heavy,S-10,simply_supported,10,2,M+,kN.m,1543.08,3s,midspan,1
PB,light,S-10,simply_supported,10,2,M+,kN.m,1277.38,3o,midspan,1
PR,intermediate,S-10,simply_supported,10,2,M+,kN.m,1614.193,3s,midspan,1
RJ,light,S-10,simply_supported,10,2,M+,kN.m,1568.51,3s,midspan,1
SC,intermediate,S-10,simply_supported,10,2,M+,kN.m,1542.9,3o,midspan,1
SP,light,S-10,simply_supported,10,2,M+,kN.m,1532.884,3s,midspan,1
ROSSIGALI,,S-10,simply_supported,10,2,M+,kN.m,1472.041,3o,midspan,1
MG,intermediate,S-10,simply_supported,10,2,V,kN,670.557,3s,first_end_support,1
MT,heavy,S-10,simply_supported,10,2,V,kN,674.03,3s,first_end_support,1
PB,light,S-10,simply_supported,10,2,V,kN,558.952,2o,first_end_support,1
PR,intermediate,S-10,simply_supported,10,2,V,kN,695.99,3o,first_end_support,1
RJ,light,S-10,simply_supported,10,2,V,kN,662.231,3o,first_end_support,1
SC,intermediate,S-10,simply_supported,10,2,V,kN,663.65,2o,first_end_support,1
SP,light,S-10,simply_supported,10,2,V,kN,673.643,3s,first_end_support,1
ROSSIGALI,,S-10,simply_supported,10,2,V,kN,644.331,3s,first_end_support,1
MG,intermediate,S-20,simply_supported,20,2,M+,kN.m,4514.524,3s,midspan,1
MT,heavy,S-20,simply_supported,20,2,M+,kN.m,4657.609,3s,midspan,1
PB,light,S-20,simply_supported,20,2,M+,kN.m,3769.05,2o,midspan,1
PR,intermediate,S-20,simply_supported,20,2,M+,kN.m,4754.276,3s,midspan,1
RJ,light,S-20,simply_supported,20,2,M+,kN.m,4224.046,3o,midspan,1
SC,intermediate,S-20,simply_supported,20,2,M+,kN.m,4638.619,3s,midspan,1
SP,light,S-20,simply_supported,20,2,M+,kN.m,4349.989,3s,midspan,1
ROSSIGALI,,S-20,simply_supported,20,2,M+,kN.m,4060.259,3s,midspan,1
MG,intermediate,S-20,simply_supported,20,2,V,kN,1025.422,3s,first_end_support,1
MT,heavy,S-20,simply_supported,20,2,V,kN,1052.162,3s,first_end_support,1
PB,light,S-20,simply_supported,20,2,V,kN,860.08,2o,first_end_support,1
PR,intermediate,S-20,simply_supported,20,2,V,kN,1062.668,3s,first_end_support,1
