stream,composition_group,stream_aadtt_dir,bridge,system,span_m,n_girders,load_effect,unit,lane_layout,governing_section,governing_girder,threshold_u,n_exceedances,max_observed_30d,gpd_shape_xi,gpd_scale_sigma,q117,q117_over_max_observed,tail_fraction_pct,ks_statistic,ks_critical,ks_pass,gpd_support_ok
MG,intermediate,6470,C-10,two_span_continuous,10,2,M+,kN.m,2o,second_span_0.4L,1,539.359,2183,853.397,-1.28352e-10,43.0668,1183.178,1.3864,3.053,0.02487,0.02911,True,True
MG,intermediate,6470,C-10,two_span_continuous,10,2,M+,kN.m,2s,second_span_0.4L,1,530.266,2025,853.397,-1.23682e-10,42.7424,1166.024,1.3663,3.381,0.02394,0.03022,True,True
MG,intermediate,6470,C-10,two_span_continuous,10,2,M+,kN.m,3s,second_span_0.4L,1,528.042,2306,945.722,-1.42995e-10,47.3477,1238.454,1.3095,4.045,0.02275,0.02832,True,True
MG,intermediate,6470,C-10,two_span_continuous,10,2,M+,kN.m,3o,second_span_0.4L,1,532.781,2241,855.434,-1.27599e-10,45.0666,1207.677,1.4118,3.673,0.0222,0.02873,True,True
MT,heavy,4232,C-10,two_span_continuous,10,2,M+,kN.m,2o,second_span_0.4L,1,539.359,2407,898.7,-1.06228e-10,42.0324,1171.82,1.3039,3.441,0.02773,0.02772,False,True
MT,heavy,4232,C-10,two_span_continuous,10,2,M+,kN.m,2s,second_span_0.4L,1,530.266,2307,896.66,-4.99951e-10,41.3911,1151.322,1.284,3.91,0.0185,0.02831,True,True
MT,heavy,4232,C-10,two_span_continuous,10,2,M+,kN.m,3s,second_span_0.4L,1,528.042,2565,850.189,-6.60671e-10,44.3453,1198.126,1.4092,4.581,0.01797,0.02685,True,True
MT,heavy,4232,C-10,two_span_continuous,10,2,M+,kN.m,3o,second_span_0.4L,1,532.781,2466,896.66,-0.0137573,46.3975,1164.317,1.2985,4.133,0.01535,0.02739,True,True
PB,light,2635,C-10,two_span_continuous,10,2,M+,kN.m,2o,second_span_0.4L,1,539.359,200,831.309,-1.6512e-10,37.569,1011.194,1.2164,1.695,0.06464,0.09617,True,True
PB,light,2635,C-10,two_span_continuous,10,2,M+,kN.m,2s,second_span_0.4L,1,530.266,200,831.309,-1.02546e-10,37.4768,1000.944,1.2041,2.006,0.0581,0.09617,True,True
PB,light,2635,C-10,two_span_continuous,10,2,M+,kN.m,3s,second_span_0.4L,1,528.042,200,831.309,-2.28835e-10,38.8893,1016.459,1.2227,2.12,0.05444,0.09617,True,True
PB,light,2635,C-10,two_span_continuous,10,2,M+,kN.m,3o,second_span_0.4L,1,532.781,200,831.309,-1.15237e-10,37.6085,1005.113,1.2091,1.992,0.0568,0.09617,True,True
PR,intermediate,7699,C-10,two_span_continuous,10,2,M+,kN.m,2o,second_span_0.4L,1,539.359,2547,906.59,-3.30783e-10,46.1072,1235.741,1.3631,2.805,0.0118,0.02695,True,True
PR,intermediate,7699,C-10,two_span_continuous,10,2,M+,kN.m,2s,second_span_0.4L,1,530.266,2256,906.59,-1.24827e-10,45.3083,1209.084,1.3337,2.986,0.02199,0.02863,True,True
PR,intermediate,7699,C-10,two_span_continuous,10,2,M+,kN.m,3s,second_span_0.4L,1,528.042,2616,906.59,-1.24514e-10,48.9765,1269.069,1.3998,3.641,0.01502,0.02659,True,True
PR,intermediate,7699,C-10,two_span_continuous,10,2,M+,kN.m,3o,second_span_0.4L,1,532.781,2663,906.59,-1.84309e-10,48.9445,1274.195,1.4055,3.443,0.01999,0.02635,True,True
RJ,light,6230,C-10,two_span_continuous,10,2,M+,kN.m,2o,second_span_0.4L,1,539.359,871,892.037,-2.73132e-10,48.6368,1221.757,1.3696,2.249,0.03074,0.04608,True,True
RJ,light,6230,C-10,two_span_continuous,10,2,M+,kN.m,2s,second_span_0.4L,1,530.266,878,892.037,-3.03084e-10,47.1073,1191.582,1.3358,2.693,0.04246,0.0459,True,True
RJ,light,6230,C-10,two_span_continuous,10,2,M+,kN.m,3s,second_span_0.4L,1,528.042,927,892.037,-1.07533e-10,50.0347,1233.173,1.3824,2.994,0.03452,0.04467,True,True
RJ,light,6230,C-10,two_span_continuous,10,2,M+,kN.m,3o,second_span_0.4L,1,532.781,929,916.127,-2.4009e-10,48.984,1223.21,1.3352,2.806,0.02897,0.04462,True,True
SC,intermediate,8414,C-10,two_span_continuous,10,2,M+,kN.m,2o,second_span_0.4L,1,539.359,2497,891.523,-1.19855e-10,44.6814,1213.32,1.361,2.882,0.0125,0.02722,True,True
SC,intermediate,8414,C-10,two_span_continuous,10,2,M+,kN.m,2s,second_span_0.4L,1,530.266,2261,891.523,-2.04772e-10,44.5778,1198.239,1.344,3.137,0.01622,0.0286,True,True
SC,intermediate,8414,C-10,two_span_continuous,10,2,M+,kN.m,3s,second_span_0.4L,1,528.042,2565,891.523,-0.0186149,50.5146,1193.391,1.3386,3.732,0.00956,0.02685,True,True
