bridge,system,span_m,n_girders,load_effect,unit,portela_static
C-10,two_span_continuous,10,2,M+,kN.m,1650.29
C-10,two_span_continuous,10,2,M-,kN.m,1159.09
C-10,two_span_continuous,10,2,V,kN,961.96
C-20,two_span_continuous,20,2,M+,kN.m,4136.22
C-20,two_span_continuous,20,2,M-,kN.m,2699.65
C-20,two_span_continuous,20,2,V,kN,1181.79
C-30,two_span_continuous,30,2,M+,kN.m,6900.81
C-30,two_span_continuous,30,2,M-,kN.m,4300.96
C-30,two_span_continuous,30,2,V,kN,1314.46
C-30*,two_span_continuous,30,5,M+,kN.m,2988.92
C-30*,two_span_continuous,30,5,M-,kN.m,1894.97
C-30*,two_span_continuous,30,5,V,kN,568.96
C-40,two_span_continuous,40,5,M+,kN.m,4339.77
C-40,two_span_continuous,40,5,M-,kN.m,2703.2
C-40,two_span_continuous,40,5,V,kN,633.09
C-50,two_span_continuous,50,5,M+,kN.m,5744.08
C-50,two_span_continuous,50,5,M-,kN.m,3532.94
C-50,two_span_continuous,50,5,V,kN,686.73
S-10,simply_supported,10,2,M+,kN.m,1996.72
S-10,simply_supported,10,2,V,kN,903.22
S-20,simply_supported,20,2,M+,kN.m,5001.62
S-20,simply_supported,20,2,V,kN,1109.99
S-30,simply_supported,30,2,M+,kN.m,8578.75
S-30,simply_supported,30,2,V,kN,1219.21
S-30*,simply_supported,30,5,M+,kN.m,3779.35
S-30*,simply_supported,30,5,V,kN,524.55
S-40,simply_supported,40,5,M+,kN.m,5499.1
S-40,simply_supported,40,5,V,kN,575.59
S-50,simply_supported,50,5,M+,kN.m,7267.45
S-50,simply_supported,50,5,V,kN,617.03
