bridge,system,span_m,n_girders,load_effect,unit,governing_girder,tb45_static
C-10,two_span_continuous,10,2,M+,kN.m,1,905.61
C-10,two_span_continuous,10,2,M-,kN.m,1,749.86
C-10,two_span_continuous,10,2,V,kN,1,536.89
C-20,two_span_continuous,20,2,M+,kN.m,1,2572.31
C-20,two_span_continuous,20,2,M-,kN.m,1,2324.36
C-20,two_span_continuous,20,2,V,kN,1,748.55
C-30,two_span_continuous,30,2,M+,kN.m,1,4773.18
C-30,two_span_continuous,30,2,M-,kN.m,1,4672.92
C-30,two_span_continuous,30,2,V,kN,1,958.66
C-30*,two_span_continuous,30,5,M+,kN.m,1,2190.05
C-30*,two_span_continuous,30,5,M-,kN.m,1,1948.51
C-30*,two_span_continuous,30,5,V,kN,1,439.47
C-40,two_span_continuous,40,5,M+,kN.m,1,3402.73
C-40,two_span_continuous,40,5,M-,kN.m,1,3289.98
C-40,two_span_continuous,40,5,V,kN,1,524.58
C-50,two_span_continuous,50,5,M+,kN.m,1,4818.67
C-50,two_span_continuous,50,5,M-,kN.m,1,4950.17
C-50,two_span_continuous,50,5,V,kN,1,606.8
S-10,simply_supported,10,2,M+,kN.m,1,1147.46
S-10,simply_supported,10,2,V,kN,1,472.63
S-20,simply_supported,20,2,M+,kN.m,1,3237.04
S-20,simply_supported,20,2,V,kN,1,657.02
S-30,simply_supported,30,2,M+,kN.m,1,6152.52
S-30,simply_supported,30,2,V,kN,1,821.24
S-30*,simply_supported,30,5,M+,kN.m,1,2774.62
S-30*,simply_supported,30,5,V,kN,1,385.25
S-40,simply_supported,40,5,M+,kN.m,1,4337.14
S-40,simply_supported,40,5,V,kN,1,450.89
S-50,simply_supported,50,5,M+,kN.m,1,6150.47
S-50,simply_supported,50,5,V,kN,1,512.9
