bridge,bridge_slug,effort,n_periods,n_boot,Q117_median,Q117_ci_low,Q117_ci_high,ratio_median,ratio_ci_low,ratio_ci_high,p_ratio_gt_1,modal_uf,modal_uf_frequency
S-10,lb10,M+,30,500,1702.425602392394,1473.476497103225,1904.139141808022,1.4835952962025218,1.2840753787391939,1.6593805157368384,1.0,SC,1.0
S-10,lb10,V,30,500,698.3951846203129,623.7597218816474,787.6293192554584,1.4777722907751012,1.3198470628050092,1.6665876412514988,1.0,MG,1.0
S-20,lb20,M+,30,500,4640.822350304354,4058.9806102776824,5314.098590687234,1.433680058790347,1.2539328422235658,1.6416739544909587,1.0,SP,1.0
S-20,lb20,V,30,500,1017.4139597384059,892.1909817206994,1125.948772654576,1.5485752811847884,1.3579771411273964,1.7137728655320792,1.0,MG,1.0
S-30,lb30,M+,30,500,8290.323474357068,7395.594113260852,9207.775882620805,1.3474723241539324,1.20204699118421,1.4965909601984244,1.0,PR,1.0
S-30,lb30,V,30,500,1287.2968884033203,1138.8409888137824,1439.9413561198119,1.5675802342953244,1.3868010092715324,1.7534600050168192,1.0,MT,1.0
S-40,lb40_5lg,M+,10,500,5624.188160217362,4538.955168547377,6880.894782910941,1.2967623896652973,1.0465415066628339,1.5865197442786516,0.994,MT,1.0
S-40,lb40_5lg,V,10,500,636.938411822365,553.619031099648,720.3360761130839,1.4125935059267354,1.2278088957632471,1.5975517323421689,1.0,SP,1.0
S-50,lb50_5lg,M+,10,500,8728.792785879072,6530.951929420378,11342.770218750979,1.4192005179870049,1.0618570733144261,1.8442029458988665,1.0,MT,1.0
S-50,lb50_5lg,V,10,500,806.8308764786423,619.9476543092087,1025.1678507594536,1.5730763822940967,1.2087105757637135,1.998767500018432,1.0,MT,1.0
C-10,lc10,M+,30,500,1348.8381444186336,1189.8996432003041,1509.110629098289,1.489441413889834,1.3139351183748942,1.6664207476792061,1.0,MG,1.0
C-10,lc10,M-,30,500,1261.0021216285813,1140.3217112849586,1401.750564244867,1.6815603702208046,1.5206316992731812,1.8692499856579106,1.0,MG,1.0
C-10,lc10,V,30,500,747.5454818260479,654.7092279119182,867.7194731727216,1.3923365278935518,1.219424898327283,1.6161659027243835,1.0,MG,1.0
C-20,lc20,M+,30,500,3905.2209966591936,3199.2952805795853,4342.396026400589,1.5181825590557843,1.243748894211245,1.688137474789328,1.0,PR,1.0
C-20,lc20,M-,30,500,2958.154600229509,2703.975001201681,3248.3484896718164,1.2726529858154831,1.1633002070218899,1.3974997804473483,1.0,MT,1.0
C-20,lc20,V,30,500,1033.0717193140447,914.6675786129198,1163.3899214833548,1.3800049683596642,1.2218375348823398,1.5540875253584756,1.0,MT,1.0
C-30,lc30,M+,30,500,6652.5545862687595,5737.429566352731,7721.2649283439105,1.3937305342891058,1.202009043482932,1.6176286198658993,1.0,MT,1.0
C-30,lc30,M-,30,500,5061.478639364628,4518.446141591237,5637.4114946039,1.0831557789305633,0.9669468941323883,1.206405336002033,0.92,MT,1.0
C-30,lc30,V,30,500,1323.6842308211405,1174.6881746235438,1499.151623337882,1.3807074484417863,1.2252927658532844,1.5637338305391488,1.0,MT,1.0
C-40,lc40_5lg,M+,10,500,4506.264245819042,3783.510722752393,5265.038464877743,1.3243201709874635,1.1119142806454856,1.5473119772174282,1.0,MT,1.0
C-40,lc40_5lg,M-,10,500,3271.5708210804128,2702.6389902880683,3751.85402352007,0.9943984258603078,0.821470817716738,1.140381162164155,0.482,SP,1.0
C-40,lc40_5lg,V,10,500,795.6187897201971,662.5628695200749,914.8680969483903,1.5166198812813518,1.2629867890203483,1.7439346110339122,1.0,PR,1.0
C-50,lc50_5lg,M+,10,500,6356.637207527413,5162.961680420949,8010.829004970734,1.31916018999469,1.0714428539691097,1.6624460964514773,0.998,MT,1.0
C-50,lc50_5lg,M-,10,500,4738.11107896673,3798.1496223473187,5485.046620155407,0.9571554844181509,0.7672719531225645,1.1080454567806164,0.308,SP,1.0
C-50,lc50_5lg,V,10,500,829.9764938947511,713.611688924238,949.1530611233351,1.3677925080664983,1.1760245367901088,1.5641942338881594,1.0,PR,1.0
