bridge,effort,cen,uf,effect,rule,Q117,n_tail,tail_threshold
S-10,V,cen2,MG,CORTANTE_APOIO_INICIO_LONG_1,q85,685.9131377096163,2440,296.1895354778512
S-10,V,cen2,MT,CORTANTE_APOIO_INICIO_LONG_1,q85,662.8915287136081,3061,296.9805398634156
S-10,V,cen2,PB,CORTANTE_APOIO_INICIO_LONG_1,q85,636.6132378977738,256,293.5299109835446
S-10,V,cen2,RJ,CORTANTE_APOIO_INICIO_LONG_1,q85,634.880614827003,965,294.36732106169035
S-10,V,cen2,SP,CORTANTE_APOIO_INICIO_LONG_1,q85,682.7606402969731,1807,294.7914614868292
S-10,V,cen2,SC,CORTANTE_APOIO_INICIO_LONG_1,q85,712.2896133463676,2755,296.29478927087547
S-10,V,cen2,PR,CORTANTE_APOIO_INICIO_LONG_1,q85,679.2288832992692,3060,295.7731795647891
S-10,V,cen4,MG,CORTANTE_APOIO_INICIO_LONG_1,q85,696.253069035957,1898,295.851265045386
S-10,V,cen4,MT,CORTANTE_APOIO_INICIO_LONG_1,q85,636.9813360798321,2457,295.8863926452592
S-10,V,cen4,PB,CORTANTE_APOIO_INICIO_LONG_1,q85,603.3259763938975,211,293.61880223563514
S-10,V,cen4,RJ,CORTANTE_APOIO_INICIO_LONG_1,q85,647.2235598868964,764,294.6039511506679
S-10,V,cen4,SP,CORTANTE_APOIO_INICIO_LONG_1,q85,671.4840637933328,1392,294.63135874081985
S-10,V,cen4,SC,CORTANTE_APOIO_INICIO_LONG_1,q85,682.173707161665,2082,295.06913313558067
S-10,V,cen4,PR,CORTANTE_APOIO_INICIO_LONG_1,q85,672.7501904560195,2287,293.95153607304246
S-10,V,cen6,MG,CORTANTE_APOIO_INICIO_LONG_1,q85,732.6466505060406,1868,298.945972129627
S-10,V,cen6,MT,CORTANTE_APOIO_FIM_LONG_1,q85,638.2544185959039,1967,295.97242853821297
S-10,V,cen6,PB,CORTANTE_APOIO_INICIO_LONG_1,q85,596.9836417549519,202,294.5610109776619
S-10,V,cen6,RJ,CORTANTE_APOIO_INICIO_LONG_1,q85,635.5636596557863,744,297.1795939498956
S-10,V,cen6,SP,CORTANTE_APOIO_INICIO_LONG_1,q85,669.040324887462,1386,297.83690097237536
S-10,V,cen6,SC,CORTANTE_APOIO_INICIO_LONG_1,q85,671.8367871926148,2080,300.0706520405125
S-10,V,cen6,PR,CORTANTE_APOIO_INICIO_LONG_1,q85,662.773321749696,2267,298.768162477631
S-10,V,cen8,MG,CORTANTE_APOIO_INICIO_LONG_1,q85,692.4108289825951,2059,298.3961244367599
S-10,V,cen8,MT,CORTANTE_APOIO_INICIO_LONG_1,q85,635.7448908672327,2593,298.3047335662301
S-10,V,cen8,PB,CORTANTE_APOIO_INICIO_LONG_1,q85,589.7873512534959,218,294.3704438962458
S-10,V,cen8,RJ,CORTANTE_APOIO_INICIO_LONG_1,q85,677.7450914508063,818,297.1298946365051
S-10,V,cen8,SP,CORTANTE_APOIO_INICIO_LONG_1,q85,709.4147535357367,1539,297.44859627199907
S-10,V,cen8,SC,CORTANTE_APOIO_INICIO_LONG_1,q85,674.9662843869442,2326,299.23313868381706
S-10,V,cen8,PR,CORTANTE_APOIO_INICIO_LONG_1,q85,682.7531115942318,2544,298.4880287044909
S-10,V,cen2,MG,CORTANTE_APOIO_INICIO_LONG_1,q90,681.6220207160502,1627,305.4108764377573
S-10,V,cen2,MT,CORTANTE_APOIO_INICIO_LONG_1,q90,656.5893939353722,2041,305.82592235661997
S-10,V,cen2,PB,CORTANTE_APOIO_INICIO_LONG_1,q90,632.34128561768,200,298.82885632320347
S-10,V,cen2,RJ,CORTANTE_APOIO_INICIO_LONG_1,q90,624.6203132018607,644,304.78520538801786
S-10,V,cen2,SP,CORTANTE_APOIO_INICIO_LONG_1,q90,666.0334711886696,1205,303.915681209835
S-10,V,cen2,SC,CORTANTE_APOIO_INICIO_LONG_1,q90,713.9010392617283,1837,305.68748598001076
S-10,V,cen2,PR,CORTANTE_APOIO_INICIO_LONG_1,q90,669.7392220439356,2040,305.2079236479073
S-10,V,cen4,MG,CORTANTE_APOIO_INICIO_LONG_1,q90,692.7520174695769,1266,304.73622795333085
S-10,V,cen4,MT,CORTANTE_APOIO_INICIO_LONG_1,q90,626.4362642313163,1638,304.3235629333669
S-10,V,cen4,PB,CORTANTE_APOIO_INICIO_LONG_1,q90,603.2291244495389,200,295.18979476473527
S-10,V,cen4,RJ,CORTANTE_APOIO_INICIO_LONG_1,q90,637.9242237553613,509,305.74903044297054
S-10,V,cen4,SP,CORTANTE_APOIO_INICIO_LONG_1,q90,653.9373005900442,928,303.77634091033383
S-10,V,cen4,SC,CORTANTE_APOIO_INICIO_LONG_1,q90,682.189746784825,1388,304.53857407095467
S-10,V,cen4,PR,CORTANTE_APOIO_INICIO_LONG_1,q90,659.7435464957844,1525,303.68025772222745
S-10,V,cen6,MG,CORTANTE_APOIO_INICIO_LONG_1,q90,728.2757824785115,1246,309.0062618257626
S-10,V,cen6,MT,CORTANTE_APOIO_FIM_LONG_1,q90,629.2344339569297,1311,306.00145133181076
S-10,V,cen6,PB,CORTANTE_APOIO_INICIO_LONG_1,q90,596.9553188337395,200,294.7409859027533
S-10,V,cen6,RJ,CORTANTE_APOIO_INICIO_LONG_1,q90,626.4321819149313,496,308.3019670222519
S-10,V,cen6,SP,CORTANTE_APOIO_INICIO_LONG_1,q90,651.1062790842464,924,307.5171634394559
S-10,V,cen6,SC,CORTANTE_APOIO_INICIO_LONG_1,q90,669.1825823049323,1387,310.81581247065105
S-10,V,cen6,PR,CORTANTE_APOIO_INICIO_LONG_1,q90,650.4415207614869,1512,309.0270963891696
S-10,V,cen8,MG,CORTANTE_APOIO_INICIO_LONG_1,q90,688.6282552793668,1373,308.67539644060685
S-10,V,cen8,MT,CORTANTE_APOIO_INICIO_LONG_1,q90,624.6910118562803,1729,308.2044090777845
S-10,V,cen8,PB,CORTANTE_APOIO_INICIO_LONG_1,q90,589.8099528589623,200,295.7824959819974
S-10,V,cen8,RJ,CORTANTE_APOIO_INICIO_LONG_1,q90,680.2577301713445,546,307.8755265204849
S-10,V,cen8,SP,CORTANTE_APOIO_INICIO_LONG_1,q90,705.3039307151628,1026,307.17045877565084
S-10,V,cen8,SC,CORTANTE_APOIO_INICIO_LONG_1,q90,678.2983782075739,1551,310.51888951486234
S-10,V,cen8,PR,CORTANTE_APOIO_INICIO_LONG_1,q90,676.8670104286606,1696,308.5518925065972
S-10,V,cen2,MG,CORTANTE_APOIO_INICIO_LONG_1,q925,677.4465825829668,1220,311.75643589802274
S-10,V,cen2,MT,CORTANTE_APOIO_INICIO_LONG_1,q925,650.4244505394886,1531,312.4036723426839
S-10,V,cen2,PB,CORTANTE_APOIO_INICIO_LONG_1,q925,632.34128561768,200,298.82885632320347
S-10,V,cen2,RJ,CORTANTE_APOIO_INICIO_LONG_1,q925,615.8313794009707,483,311.1907395801491
S-10,V,cen2,SP,CORTANTE_APOIO_INICIO_LONG_1,q925,652.997317511863,904,309.7375291955897
