bridge,bridge_slug,effort,model,rule,Q117,ratio_tb45,selected_uf,selected_cen,selected_effect,relative_to_q90_pct
S-10,lb10,V,Weibull3P,q85,732.6466505060406,1.5502468271393157,MG,cen6,CORTANTE_APOIO_INICIO_LONG_1,0.6001666034608277
S-10,lb10,V,Weibull3P,q90,728.2757824785115,1.5409982701618947,MG,cen6,CORTANTE_APOIO_INICIO_LONG_1,0.0
S-10,lb10,V,Weibull3P,q925,723.2037360079327,1.53026605164607,MG,cen6,CORTANTE_APOIO_INICIO_LONG_1,-0.6964458509546079
S-10,lb10,V,Weibull3P,q95,715.2651402650317,1.513468345884536,MG,cen6,CORTANTE_APOIO_INICIO_LONG_1,-1.7864993628102233
S-10,lb10,V,Weibull3P,frac058,731.0661392292509,1.5469025375142844,MG,cen6,CORTANTE_APOIO_INICIO_LONG_1,0.38314561844183803
S-10,lb10,V,GPD,q90,1029.3878769640496,2.1781376998816113,SP,cen4,CORTANTE_APOIO_INICIO_LONG_1,41.34588870452009
S-10,lb10,V,GumbelDailyMax,block,706.7774892232659,1.4955088642049637,MG,cen6,CORTANTE_APOIO_INICIO_LONG_1,-2.9519439987529594
S-10,lb10,M+,Weibull3P,q85,1725.7332867121095,1.5039070036706836,SC,cen2,MOMENTO_MEIO_VAO_LONG_1,-0.1292006379365218
S-10,lb10,M+,Weibull3P,q90,1727.9658295872614,1.5058525748037137,SC,cen2,MOMENTO_MEIO_VAO_LONG_1,0.0
S-10,lb10,M+,Weibull3P,q925,1724.7351248778198,1.5030371458630238,SC,cen2,MOMENTO_MEIO_VAO_LONG_1,-0.18696577525570968
S-10,lb10,M+,Weibull3P,q95,1713.309204233884,1.4930799165436897,SC,cen2,MOMENTO_MEIO_VAO_LONG_1,-0.8482011103702392
S-10,lb10,M+,Weibull3P,frac058,1723.1284940025457,1.5016370318104975,SC,cen2,MOMENTO_MEIO_VAO_LONG_1,-0.27994393765709
S-10,lb10,M+,GPD,q90,2143.663945010554,1.8681167276780428,SC,cen2,MOMENTO_MEIO_VAO_LONG_1,24.057079619600195
S-10,lb10,M+,GumbelDailyMax,block,1704.769103869357,1.4856375632848426,SC,cen2,MOMENTO_MEIO_VAO_LONG_1,-1.3424296546098446
S-20,lb20,V,Weibull3P,q85,1086.0559658560842,1.6530532204811024,MT,cen6,CORTANTE_APOIO_INICIO_LONG_1,0.22745015921645795
S-20,lb20,V,Weibull3P,q90,1083.5913356379199,1.6493018807274276,MG,cen6,CORTANTE_APOIO_INICIO_LONG_1,0.0
S-20,lb20,V,Weibull3P,q925,1082.4861684183809,1.6476197388407623,MG,cen6,CORTANTE_APOIO_INICIO_LONG_1,-0.10199114584913405
S-20,lb20,V,Weibull3P,q95,1075.9637128315308,1.637692104766409,MG,cen6,CORTANTE_APOIO_INICIO_LONG_1,-0.7039206161517209
S-20,lb20,V,Weibull3P,frac058,1199.8055649570874,1.8261880745161148,SP,cen8,CORTANTE_APOIO_INICIO_LONG_1,10.724913119644985
S-20,lb20,V,GPD,q90,1245.5753591163518,1.8958529058087548,PR,cen6,CORTANTE_APOIO_INICIO_LONG_1,14.948811249313888
S-20,lb20,V,GumbelDailyMax,block,1030.4850137255792,1.5684703405259957,MG,cen6,CORTANTE_APOIO_INICIO_LONG_1,-4.900954831008919
