bridge_label,family,span_m,effort,uf,gov_cen,gov_effect,gov_girder,Q141,Q117,Q174,weibull_k,weibull_alpha,weibull_u,unit,n_peaks,source
C-10,C,10,V,mg,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,1,810.4,804.0,817.6,0.9224,25.024,299.727,kN,6008,2lg
C-10,C,10,V,mt,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,1,776.8,771.3,782.9,0.9912,28.176,309.138,kN,6267,2lg
C-10,C,10,V,pb,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,1,668.5,663.3,674.3,0.9375,21.794,290.074,kN,1185,2lg
C-10,C,10,V,pr,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,1,789.8,784.1,796.2,0.9813,28.441,297.928,kN,7693,2lg
C-10,C,10,V,rj,cen8,CORTANTE_APOIO_CENTRAL_LONG_1,1,725.7,720.4,731.7,0.9978,28.292,282.983,kN,3309,2lg
C-10,C,10,V,sc,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,1,762.1,756.8,768.1,1.0075,29.219,294.566,kN,7254,2lg
C-10,C,10,V,sp,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,1,763.1,757.3,769.6,0.949,25.441,290.866,kN,5138,2lg
C-10,C,10,M+,mg,cen6,MOMENTO_(+)_FIM_LONG_1,1,1349.7,1338.9,1361.8,0.929,43.301,487.907,kN.m,5702,2lg
C-10,C,10,M+,mt,cen2,MOMENTO_(+)_FIM_LONG_1,1,1213.1,1204.8,1222.6,0.9837,42.159,493.46,kN.m,6995,2lg
C-10,C,10,M+,pb,cen6,MOMENTO_(+)_FIM_LONG_1,1,1128.8,1119.3,1139.4,0.9158,36.283,466.334,kN.m,944,2lg
C-10,C,10,M+,pr,cen8,MOMENTO_(+)_FIM_LONG_1,1,1291.9,1282.6,1302.4,0.9885,47.775,482.514,kN.m,7734,2lg
C-10,C,10,M+,rj,cen8,MOMENTO_(+)_FIM_LONG_1,1,1306.4,1295.7,1318.5,0.9311,43.563,476.271,kN.m,3312,2lg
C-10,C,10,M+,sc,cen2,MOMENTO_(+)_FIM_LONG_1,1,1258.5,1249.5,1268.6,0.9754,43.695,483.911,kN.m,8666,2lg
C-10,C,10,M+,sp,cen6,MOMENTO_(+)_FIM_LONG_1,1,1309.3,1298.9,1321.0,0.9307,42.21,480.156,kN.m,5084,2lg
C-10,C,10,M-,mg,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,1389.8,1378.9,1402.1,0.9279,43.764,519.261,kN.m,5363,2lg
C-10,C,10,M-,mt,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,1385.9,1375.7,1397.5,0.9614,47.11,535.123,kN.m,6031,2lg
C-10,C,10,M-,pb,cen2,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,1150.5,1141.7,1160.5,0.9542,39.655,506.106,kN.m,947,2lg
C-10,C,10,M-,pr,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,1366.0,1356.1,1377.3,0.9745,48.531,516.102,kN.m,6844,2lg
C-10,C,10,M-,rj,cen8,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,1274.0,1264.1,1285.0,0.9561,44.359,501.255,kN.m,2744,2lg
C-10,C,10,M-,sc,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,1319.7,1310.2,1330.4,0.9807,47.095,514.149,kN.m,6281,2lg
C-10,C,10,M-,sp,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,1363.1,1351.9,1375.8,0.8941,38.861,511.23,kN.m,4269,2lg
S-10,S,10,V,mg,cen6,CORTANTE_APOIO_INICIO_LONG_1,1,734.0,728.3,740.5,0.9434,24.844,308.851,kN,1246,2lg
S-10,S,10,V,mt,cen2,CORTANTE_APOIO_INICIO_LONG_1,1,661.0,656.6,665.9,1.0058,23.992,305.082,kN,2041,2lg
S-10,S,10,V,pb,cen2,CORTANTE_APOIO_INICIO_LONG_1,1,637.8,632.3,644.0,0.9055,20.436,298.107,kN,200,2lg
S-10,S,10,V,pr,cen8,CORTANTE_APOIO_INICIO_LONG_1,1,681.4,676.9,686.4,1.0398,27.819,307.966,kN,1696,2lg
S-10,S,10,V,rj,cen8,CORTANTE_APOIO_INICIO_LONG_1,1,685.5,680.3,691.4,0.9742,25.594,308.322,kN,546,2lg
S-10,S,10,V,sc,cen2,CORTANTE_APOIO_INICIO_LONG_1,1,719.4,713.9,725.6,0.9379,23.072,306.423,kN,1837,2lg
S-10,S,10,V,sp,cen8,CORTANTE_APOIO_INICIO_LONG_1,1,710.8,705.3,717.0,0.9502,24.416,306.997,kN,1026,2lg
S-10,S,10,M+,mg,cen6,MOMENTO_MEIO_VAO_LONG_1,1,1637.9,1625.9,1651.5,0.9996,64.608,729.431,kN.m,734,2lg
S-10,S,10,M+,mt,cen2,MOMENTO_MEIO_VAO_LONG_1,1,1510.9,1501.0,1522.2,1.0117,55.747,723.997,kN.m,1226,2lg
S-10,S,10,M+,pb,cen2,MOMENTO_MEIO_VAO_LONG_1,1,1471.3,1458.3,1486.1,0.8879,44.997,680.339,kN.m,200,2lg
S-10,S,10,M+,pr,cen2,MOMENTO_MEIO_VAO_LONG_1,1,1566.1,1555.5,1578.0,1.0161,60.294,726.386,kN.m,1189,2lg
S-10,S,10,M+,rj,cen8,MOMENTO_MEIO_VAO_LONG_1,1,1516.4,1506.0,1528.0,1.0728,70.804,730.582,kN.m,323,2lg
